SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,271473,"941,000",NA,"5,544,000","1,657,000","521,086",11,NA,"773,992","2,417,000","98,918","606,000","1,977,000","10,790",464,"48,416","736,000","4,268",2,"1,247","116,924","10,992",NA,"190,000","1,166,000","472,692",NA,"340,099","73,811","2,288","1,473,000","2,060,000","2,584","10,265","749,820","138,147","4,277,000","785,300","128,000","1,952,122","436,300","8,934","4,150,000","48,384",865,"2,845,000","1,942","10,910","186,868","8,602","2,760,000","142,992","637,500","2,012,000","1,214,000",581,"879,000","2,247,077",NA,"339,842","618,200",NA,75,"322,439",NA,"7,560,000","2,840,000",NA,"805,000","1,985,000","2,054,000","10,145,000",NA,"1,459,000","74,522","1,248,000","7,090,000","1,229,000",NA,"2,054,000","71,820","81,216","3,337,000",NA,"3,062,000","12,112","2,476,000","2,039",192,99,"3,286,000",NA,"1,305,000","11,825",1,"311,100","1,580,000","1,329,000",665,"4,360",825,"132,578","506,000","35,264","34,528","725,000",873,"2,388,000",NA,"9,401,000","16,891","4,035,000","660,000","228,591","267,100",68,"43,094","1,921,000","74,340","2,130","457,455","68,806","4,116,000","7,798","213,000",NA,116,"331,170","3,753,000","261,000",NA,"339,400",211,"2,737,000","415,635","20,429,000","1,925,000",NA
Earnings from Cont. Ops.,271505,"290,000","(3,767)","1,730,000","418,000","11,386",(28),NA,"79,864.00","-31,000.00","49,676.10","87,000.00","147,000.00","-2,188.52","-1,339.34","27,655.36","466,900.00","1,264.67",-67.61,-33.44,"-2,013.00","3,285.80",NA,"77,000.00","297,000.00","-197,715.00",NA,"25,878.00","10,638.56",-135.37,"646,000.00","712,000.00",473.15,"3,807.39","239,241.00","5,315.60","1,404,000.00","133,800.00","24,000.00","315,418.00","182,098.71","4,310.01","1,720,000.00","7,090.93",124.22,"908,000.00",109.95,"10,515.97","133,842.00",540.17,"473,000.00","-17,850.00","112,600.00","588,000.00","185,000.00","-1,901.46","203,000.00","645,397.84",NA,"172,277.66","99,500.00","-54,957.64",0.40,"1,950.24",NA,"1,825,000.00","565,000.00","-1,000.19","11,000.00","517,000.00","743,000.00","956,000.00",NA,"-27,000.00","3,994.00","668,000.00","1,755,000.00","-149,000.00",-503.15,"62,000.00","6,901.75","2,233.70","1,868,000.00",-4.26,"960,000.00","2,412.29","1,122,000.00",940.68,133.09,-65.10,"1,077,000.00","-2,379.25","432,000.00","4,105.85",842.46,"12,327.00","481,000.00","750,000.00",121.46,"1,481.01",-478.56,"14,184.75","-37,000.00","1,114.19","19,285.21","255,000.00",771.13,"691,000.00",NA,"2,929,000.00","25,178.04","830,000.00","380,000.00","38,238.00","-66,700.00",2.56,"26,962.58","736,000.00","60,605.24",430.50,"97,052.00","-37,326.29","1,625,000.00","-1,029.99","77,000.00","-1,635.91","-1,203.84","134,288.00","490,000.00","85,000.00",NA,"52,800.00",0.39,"-652,000.00","-21,687.00","4,983,000.00","729,000.00",NA
Net Income,271510,"289,000","(3,745)","1,730,000","347,000","6,028",(28),NA,"79,720.00","-37,000.00","49,345.46","87,000.00","303,000.00","-1,799.04","-1,339.34","28,645.60","466,800.00","1,264.67",-67.61,-33.44,"-2,013.00","2,961.89",NA,"77,000.00","297,000.00","-197,715.00",NA,"25,469.00","10,661.72",-135.37,"646,000.00","665,000.00",473.11,"3,807.39","230,821.00",-995.75,"1,379,000.00","133,100.00","24,000.00","242,139.00","182,098.71","4,107.07","1,322,000.00","7,060.26",124.22,"908,000.00",47.44,"9,945.62","133,842.00",477.55,"471,000.00","-17,576.00","171,900.00","564,000.00","157,000.00","-1,901.46","204,000.00","538,822.73",NA,"172,280.05","98,600.00","-54,957.64",0.40,"1,950.24",NA,"1,610,000.00","565,000.00",-958.29,"11,000.00","517,000.00","717,000.00","947,000.00",NA,"-27,000.00","3,994.00","353,000.00","1,755,000.00","-149,000.00",-503.15,"62,000.00","6,881.95","2,829.65","1,868,000.00",-4.26,"915,000.00","1,887.93","1,116,000.00",940.68,133.09,-65.10,"1,077,000.00","-2,379.25","430,000.00","4,105.85",842.46,"9,903.00","481,000.00","750,000.00",121.46,"1,457.13",-478.56,"13,219.52","-37,000.00","1,027.20","19,285.21","-93,000.00",771.13,"636,000.00",NA,"2,929,000.00","25,178.04","936,000.00","443,000.00","38,238.00","-66,800.00",2.56,"33,504.37","730,000.00","60,634.64",430.50,"97,052.00","-38,128.11","1,535,000.00","-1,029.99","77,000.00","-1,635.91","-1,203.84","113,870.00","490,000.00","85,000.00",NA,"52,800.00",0.39,"-595,000.00","-32,912.00","4,879,000.00","691,000.00",NA
EBITDA,271528,"911,000","(2,955)","3,728,000","1,427,000","331,874",(23),NA,"203,727.0","975,000.0","73,668.9","258,000.0","1,188,000.0","7,087.1","-1,068.3","38,225.0","505,500.0","2,640.7",-23.4,391.8,"33,699.0","2,907.1",NA,"194,000.0","1,006,000.0","-109,703.0",NA,"212,678.0","28,022.2",-158.2,"1,473,000.0","2,022,000.0",878.4,NA,"392,640.0","50,282.4","4,028,000.0","412,200.0","110,000.0","1,119,917.0","366,828.9","8,884.6","3,862,000.0","11,325.3",201.9,"2,303,000.0",281.0,"10,622.9","209,569.0","3,185.8","1,724,000.0","12,594.0","273,300.0","842,000.0","770,000.0",NA,"972,000.0","987,543.4",NA,"98,035.9","231,700.0","-1,547.0",16.3,"22,752.8",NA,"3,715,000.0","1,124,000.0",-993.8,"268,000.0","964,000.0","1,755,000.0","2,451,000.0",NA,"231,000.0","1,839.0","1,284,000.0","3,139,000.0","235,000.0",-226.8,"363,000.0","12,828.7","23,916.8","3,175,000.0",-2.0,"1,230,000.0","4,689.4","1,508,000.0","1,210.4",142.3,-42.9,"2,842,000.0",NA,"710,000.0","5,307.8",NA,"145,050.0","1,040,000.0","1,329,000.0",257.2,"3,094.2",NA,"55,166.4","121,000.0","1,547.6","27,236.1","564,000.0",NA,"1,642,000.0",NA,"4,998,000.0","14,262.9","3,149,000.0","575,000.0","108,215.0","37,300.0",6.7,"43,094.5","1,361,000.0","80,066.2",454.9,"240,550.0","20,539.4","3,453,000.0","-1,610.5","166,000.0",NA,"-1,036.7","311,778.0","1,069,000.0","129,000.0",NA,"126,100.0",45.3,"991,000.0","375,139.0","12,461,000.0","1,679,000.0",NA
EBIT,271530,"496,000","(2,973)","2,341,000","745,000","172,467",(26),NA,"167,917.0","509,000.0","69,048.5","187,000.0","581,000.0","4,205.3","-1,274.5","27,971.3","406,400.0","1,972.4",-93.7,207.2,"6,660.0","2,110.0",NA,"135,000.0","643,000.0","-236,765.0",NA,"134,014.0","16,274.2",-313.3,"1,048,000.0","1,362,000.0",703.5,NA,"305,222.0","30,944.2","2,337,000.0","235,800.0","71,000.0","499,142.0","252,622.5","7,643.5","2,495,000.0","9,191.7",152.6,"1,550,000.0",168.4,"10,599.8","171,219.0","1,254.5","340,000.0","9,153.0","165,300.0","706,000.0","451,000.0",NA,"695,000.0","730,552.7",NA,"70,351.2","197,500.0","-1,589.4",3.2,"16,057.0",NA,"2,855,000.0","927,000.0","-1,023.7","146,000.0","801,000.0","1,145,000.0","1,473,000.0",NA,"43,000.0",978.0,"972,000.0","2,653,000.0","-161,000.0",-503.8,"147,000.0","8,579.3","9,301.9","2,655,000.0",-4.3,"1,061,000.0","3,397.1","1,218,000.0","1,175.1",142.3,-62.8,"2,771,000.0","-2,612.8","629,000.0","4,609.1",-406.5,"36,189.0","703,000.0","983,000.0",116.6,"1,965.1",451.1,"30,428.4","46,000.0","1,517.2","26,459.9","405,000.0",789.7,"1,262,000.0",NA,"4,061,000.0","14,052.1","1,345,000.0","343,000.0","65,569.0","-36,100.0",2.7,"34,250.9","949,000.0","59,276.1",429.1,"145,417.0","-8,206.7","2,401,000.0","-2,236.1","131,000.0",-29.3,"-1,129.0","218,088.0","834,000.0","112,000.0",NA,"94,000.0",1.0,"300,000.0","59,735.0","7,884,000.0","1,094,000.0",NA
EBITDA / Interest Expense (x),274484,5.21,NM,5.16,16.27,3.00,NM,NA,3.01,1.56,5.25,4.37,7.67,1.25,NM,32.65,4.74,30.31,NA,2.08,4.64,2.93,NA,2.80,4.23,NM,NA,8.54,15.38,NM,7.46,4.20,8.43,NA,14.22,2.52,4.62,7.79,4.58,9.53,31.68,8.40,4.82,54.23,9.81,4.53,19.45,2.40,20.40,8.20,6.31,7.00,8.78,7.41,10.09,NA,9.64,11.72,NA,NM,5.57,NM,1.96,8.41,NA,7.27,11.62,NA,14.18,6.87,3.89,17.11,NA,3.61,NA,6.17,9.65,24.11,NA,14.15,30.48,5.15,10.09,NA,18.16,10.32,6.23,NM,76.90,NM,11.02,NA,10.94,NA,NA,8.47,7.42,6.68,9.56,18.92,NA,4.00,2.06,25.27,263.20,9.29,NA,3.72,NA,6.37,0.42,10.80,4.64,6.50,1.47,NA,12.66,6.25,17.69,NM,9.10,1.18,7.09,NM,5.40,NA,NM,5.73,7.20,9.48,NA,9.05,8.49,7.23,3.86,8.51,4.81,NA
EBIT / Interest Expense (x),274483,2.83,NM,3.24,8.37,1.56,NM,NA,2.48,0.72,4.52,2.28,3.75,0.74,NM,23.89,3.81,22.64,NA,1.10,0.87,2.12,NA,1.88,2.70,NM,NA,4.81,8.93,NM,5.01,2.83,5.94,NA,11.06,1.55,2.63,4.46,2.96,4.25,21.82,7.22,3.08,40.74,7.41,3.04,11.65,2.39,16.48,3.23,1.12,2.05,5.17,5.79,5.50,NA,6.26,8.26,NA,NM,4.75,NM,0.39,3.58,NA,5.22,8.91,NA,5.21,5.41,2.54,9.26,NA,0.52,NA,4.25,7.11,NM,NA,4.74,11.77,2.00,7.06,NA,14.15,7.28,4.78,NM,73.61,NM,10.74,NA,9.12,NA,NA,0.93,4.51,4.94,4.33,12.02,1.53,2.21,0.57,24.78,255.70,6.33,NA,2.86,NA,4.82,0.41,4.34,2.70,3.43,NM,NA,10.06,3.97,11.21,NM,4.99,NM,4.78,NM,3.85,NM,NM,4.01,5.21,8.00,NA,6.27,0.19,2.19,0.57,4.83,3.14,NA
Avg. Days Sales Out.,274485,40.0,NA,85.2,64.5,46.1,89.6,NA,164.37,53.62,16.89,11.34,60.20,53.36,NA,91.11,29.39,58.62,111.56,306.78,67.91,53.91,NA,10.81,38.68,34.10,NA,68.31,62.73,80.61,35.15,46.52,35.14,NA,66.46,189.70,44.00,61.65,102.64,44.37,NA,91.46,47.34,70.59,NA,38.47,59.17,18.06,35.99,13.56,25.61,60.23,80.58,72.65,53.42,NA,85.74,NA,NA,NA,95.97,NA,NM,40.70,NA,53.75,31.70,NA,37.83,35.05,31.98,5.08,NA,NA,6.46,NM,NA,3.30,NA,5.16,1.86,36.59,37.05,NA,24.25,40.99,50.60,37.35,NA,99.63,4.33,NA,108.61,73.65,20.07,91.63,75.30,24.81,NM,60.11,2.02,35.38,50.86,76.25,37.44,47.97,NA,27.85,NA,54.95,115.75,50.87,29.40,19.27,11.83,NM,39.64,8.59,38.38,30.57,33.67,16.26,115.71,107.86,45.53,NA,36.93,63.63,24.66,1.87,NA,41.85,NA,32.03,55.46,70.63,43.18,NA
Avg. Days Inventory Out.,274486,59.9,NA,237.1,37.6,247.7,NM,NA,69.27,465.38,10.13,89.13,150.38,NM,NA,40.64,92.86,0.32,25.97,NA,NA,25.32,NA,NA,33.92,13.75,NA,40.18,111.41,216.66,19.66,78.77,116.18,NA,94.90,0.01,100.99,NA,55.93,NA,NA,NA,15.62,424.10,NA,19.61,115.48,NA,80.42,24.94,42.01,195.71,102.49,66.68,113.00,NA,60.33,NA,NA,NA,96.45,NA,NM,NA,NA,14.77,69.72,NA,NA,80.86,23.29,22.00,NA,141.09,NM,11.42,111.94,13.73,NA,139.74,26.70,34.32,1.84,NA,27.88,174.02,97.91,39.06,NA,NA,78.18,NA,57.53,159.69,157.02,3.94,17.30,14.87,60.15,297.30,NA,76.94,126.81,NA,NA,68.16,NA,13.15,NA,NA,158.51,105.02,2.48,63.49,121.65,NM,52.26,11.28,8.39,NA,NA,37.82,73.34,148.82,NA,NA,118.90,18.05,26.30,NA,NA,153.10,NA,25.74,41.46,15.32,20.05,NA
Accounts Receivable Turnover (x),274489,9.01,NA,4.22,5.58,7.99,4.02,NA,2,7,21,32,6,7,NA,4,12,6,3,1,5,7,NA,33,9,11,NA,5,6,5,10,8,10,NA,5,2,8,6,4,8,NA,4,8,5,NA,9,6,20,10,27,14,7,4,5,7,NA,4,NA,NA,NA,4,NA,0,9,NA,7,12,NA,10,10,11,88,NA,NA,56,0,NA,109,NA,70,193,10,10,NA,15,9,7,10,NA,4,83,NA,3,5,18,4,5,15,0,6,183,10,7,5,10,8,NA,13,NA,7,3,7,12,18,30,0,9,42,9,12,11,22,3,3,8,NA,10,6,15,192,NA,9,NA,11,7,5,8,NA
Inventory Turnover (x),274490,6.01,NA,1.52,9.59,1.49,0.20,NA,5,1,36,4,2,0,NA,9,4,NM,14,NA,NA,14,NA,NA,11,26,NA,9,3,2,18,5,3,NA,4,NM,4,NA,6,NA,NA,NA,23,1,NA,18,3,NA,5,15,9,2,3,5,3,NA,6,NA,NA,NA,4,NA,0,NA,NA,24,5,NA,NA,4,15,20,NA,3,0,32,3,26,NA,3,13,10,196,NA,13,2,4,9,NA,NA,5,NA,6,2,2,91,21,24,6,1,NA,5,3,NA,NA,5,NA,27,NA,NA,2,3,145,6,3,0,7,32,43,NA,NA,10,5,2,NA,NA,3,20,14,NA,NA,2,NA,14,9,24,18,NA
Fixed Asset Turnover (x),274488,0.22,NA,4.73,0.83,0.26,31.53,NA,46,6,3,2,2,0,1,7,4,30,1,13,15,6,NA,1,0,0,NA,2,5,15,0,0,1,NA,7,11,0,3,3,0,10,15,1,8,NA,0,4,0,1,1,4,6,9,7,1,NA,3,NA,NA,NA,12,NA,5,37,NA,2,13,NA,4,4,0,6,NA,1,21,1,4,1,NA,3,2,2,1,NA,78,1,3,26,10,1,11,NA,7,4,1,6,3,0,1,3,NA,4,4,62,20,2,NA,1,NA,2,65,0,3,7,5,0,6,0,1,95,1,3,5,6,31,NA,2,0,13,157,NA,5,NA,4,1,1,0,NA
Total Asset Turnover (x),274487,0.18,NA,0.36,0.56,0.16,0.41,NA,1,0,1,1,0,0,0,1,1,2,0,1,1,2,NA,0,0,0,NA,1,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,NA,0,1,0,1,1,1,1,0,1,1,0,1,NA,NA,NA,1,NA,0,4,NA,1,1,NA,1,0,0,4,NA,1,0,0,2,1,NA,1,1,1,0,NA,5,0,1,3,0,0,1,NA,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,NA,0,0,0,2,1,1,0,1,0,1,1,0,2,0,1,1,NA,1,0,3,1,NA,1,NA,2,0,0,0,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"431,000","(1,042)","1,391,000","1,096,000","223,036",4,NA,"351,679","-1,616,000","77,578","76,000","693,000","5,157",-895,"-51,306","268,600","1,363",-166,"-1,573","29,455","5,594",NA,"247,000","410,000","215,656",NA,"171,697","12,974",-463,"1,255,000","1,183,000",978,"-4,859","156,612","22,554","2,177,000","223,900","96,000","1,741,167","-269,464","1,901","2,917,000","16,259",-13,"1,200,000",543,"6,784","132,636","3,149","3,679,000","-60,356","241,700","250,000","151,000","-1,181","377,000","593,505",NA,NA,"138,100","-1,648",173,"31,919",NA,"1,651,000","374,000",-280,"-48,000","209,000","1,162,000","2,342,000",NA,"-7,000","-127,148","1,228,000","4,262,000","860,000",-490,"129,000","14,896","19,225","2,428,000",0,"-1,380,000","1,233","-79,000","1,318",595,-41,"2,720,000","-1,189","510,000","-1,088",537,"78,365","-1,565,000","950,000",370,"-22,656","8,100","71,213","-213,000",-578,"17,014","-49,000",-21,"904,000",NA,"7,427,000",NA,"2,148,000","639,000","40,077","83,200",-24,"12,495","1,627,000","88,931",624,"330,083","11,343","1,305,000","-1,006","98,000",-13,-696,"291,268","53,000","95,000",NA,"-48,600",49,"952,000","151,096","7,782,000","1,433,000",NA
Cash from Investing,272601,"(1,087,000)","(1,691)","(447,000)","(786,000)","(169,119)",NA,NA,"-24,979","-1,717,000","-5,583","-46,000","204,000","1,493",-248,"-8,905","-286,300",-49,1,-105,"-20,736","4,636",NA,"-80,000","-234,000","-633,597",NA,"-45,479","-3,987",92,"-647,000","-3,238,000",-460,-291,"-74,186","-16,651","-3,300,000","-107,200","-26,000","-534,044","-10,000",578,"-1,198,000","-1,460",0,"-1,942,000",-477,"-7,480","-33,128","-1,714","210,000",702,"-26,200","-407,000","-165,000",114,"-784,000","-397,723",NA,NA,"-52,400","-3,088",-14,"-5,656",NA,"-1,032,000","-300,000",118,"-166,000","-57,000","-1,414,000","-1,014,000",NA,"-126,000",-245,"-549,000","-378,000","623,000",NA,"-217,000","-13,278","-16,141","-771,000",NA,"-87,000","-12,905","1,220,000",-267,NA,15,"-43,000",NA,"-477,000",764,NA,"-34,905","-252,000","-1,021,000",-26,"-1,920",NA,"-83,843","-27,000",-28,"-3,648","-159,000",NA,"-694,000",NA,"-2,765,000",NA,"-731,000","-1,149,000","-66,086","-28,300",1,"-23,770","-440,000","-219,930",-72,"-162,495","-4,012","-678,000",-943,"-7,000",NA,-99,"-186,645","-46,000","-8,000",NA,"-19,100",4,"-635,000","-221,519","-3,752,000","-1,170,000",NA
Cash from Financing,272618,"704,000","4,123","(4,107,000)","(868,000)","161,416",(6),NA,"-342,116","-338,000","-58,498","-259,000","-1,928,000","-7,409","1,324","-4,027","70,100","-1,106",NA,"1,709","-27,387","-3,956",NA,"-148,000","1,053,000","375,755",NA,"-105,325",-948,-93,"-402,000","2,167,000",-604,NA,"-122,234","-105,046","1,238,000","-95,800","-86,000","-1,127,452","3,158","-7,239","-1,578,000","-12,283",-217,"1,385,000",-357,"1,084","-87,893",-598,"-6,120,000","10,239","-141,000","-286,000","-403,000",731,"-406,000","-231,939",NA,NA,"-162,400","1,260",-69,"-2,795",NA,"-1,495,000","-433,000",152,"-51,000","-7,000","333,000","-348,000",NA,"178,000","131,796","-997,000","-1,568,000","-858,000","2,149","-70,000","-9,875","2,924","-1,543,000",NA,"-809,000","4,814","-422,000",-15,-9,-27,"-1,085,000",NA,"-597,000","-4,491",-360,"-97,694","-851,000","-564,000",-179,"21,438","-7,675","77,325","270,000","-1,249","-8,423","264,000",NA,"-802,000",NA,"-4,585,000",NA,"-932,000","590,000","79,009","-56,900",-15,"-15,319","-1,191,000","65,331",135,"-127,504","16,790","-1,056,000",-190,"-136,000",-240,274,"-62,128","-131,000","-494,000",NA,"44,600",-47,"-382,000","-22,453","-5,893,000","-223,000",NA
Foreign Exchange Rate Adj.,272619,NA,-9.64,NA,NA,335,NA,NA,"58,491.00","12,000.00",NA,NA,"-12,000.00",-146.52,NA,-60.14,"-2,700.00",NA,NA,-95.75,-570.00,0.44,NA,NA,NA,NA,NA,"5,265.00",-905.23,NA,NA,NA,NA,NA,251.00,NA,NA,"4,400.00","-1,000.00",NA,NA,31.14,NA,912.74,NA,NA,NA,NA,NA,NA,"118,000.00","4,087.00","4,300.00","27,000.00","8,000.00",NA,"-1,000.00","-11,683.79",NA,NA,"2,800.00",-8.67,NA,"-2,535.31",NA,"3,000.00",NA,23.13,"-17,000.00","-2,000.00",NA,NA,NA,NA,NA,"-4,000.00",NA,NA,NA,NA,NA,NA,"39,000.00",NA,"-5,000.00",149.90,"7,000.00",NA,NA,NA,NA,-210.11,"26,000.00",-61.15,NA,80.00,NA,NA,-176.05,-0.69,NA,NA,"3,000.00",701.05,NA,"23,000.00",NA,NA,NA,"85,000.00",NA,NA,"-1,000.00",NA,"6,100.00",NA,NA,"2,000.00",687.52,NA,NA,NA,"16,000.00",526.65,NA,NA,NA,11.00,"13,000.00",NA,NA,"-5,100.00",0.23,"43,000.00","3,442.00",NA,NA,NA
Net Change in Cash,272621,"48,000","1,381","(3,163,000)","(558,000)","215,668",(2),NA,"43,075.00","-3,659,000.00","13,497.60","-229,000.00","-1,043,000.00",-905.45,180.53,"-64,298.81","51,000.00",207.45,-165.56,-65.16,"-19,238.00","6,275.01",NA,"19,000.00","1,229,000.00","-42,186.00",NA,"26,158.00","7,134.48",-463.57,"206,000.00","112,000.00",-87.00,"-5,149.43","-39,557.00","-99,142.75","115,000.00","25,300.00","-17,000.00","79,671.00","-276,305.85","-4,728.96","141,000.00","3,428.27",-230.57,"643,000.00",-291.11,388.02,"11,615.00",837.56,"-2,113,000.00","-45,328.00","78,800.00","-416,000.00","-409,000.00",-335.52,"-814,000.00","-47,840.38",NA,NA,"-73,900.00","-3,484.13",89.71,"20,932.55",NA,"-873,000.00","-359,000.00",13.34,"-281,000.00","143,000.00","81,000.00","980,000.00",NA,"45,000.00","4,403.00","-322,000.00","2,316,000.00","625,000.00","1,659.40","-158,000.00","-8,256.72","6,007.71","153,000.00",0.07,"-2,281,000.00","-6,707.97","726,000.00","1,036.34",586.31,-52.84,"1,592,000.00","-1,399.43","-538,000.00","-4,876.57",177.15,"-54,154.00","-2,668,000.00","-635,000.00",-11.16,"-3,138.98",425.31,"64,694.52","33,000.00","-1,154.15","4,942.95","79,000.00",-20.53,"-592,000.00",NA,"162,000.00",NA,"485,000.00","79,000.00","53,000.00","4,100.00",-39.25,"-26,593.02","-2,000.00","-64,980.50",687.19,"40,084.00","108,748.43","-413,000.00","-1,613.12","-45,000.00",-253.29,-520.33,"42,506.00","-111,000.00","-407,000.00",NA,"-28,200.00",7.07,"-22,000.00","-89,434.00","-1,863,000.00","40,000.00",NA
Capital Expenditure,272592,"(1,082,000)","(1,691)","(411,000)","(790,000)","(169,453)",NA,NA,"-24,979.00","-674,000.00","-7,953.06","-46,000.00","-105,000.00",-736.68,-248.44,"-9,180.78","-133,000.00",-2.81,NA,-1.06,-811.00,-220.82,NA,"-80,000.00","-1,395,000.00","-131,465.00",NA,"-59,324.00","-2,245.18",-2.34,"-719,000.00","-3,214,000.00",-455.08,-49.08,"-48,192.00",-114.73,"-3,148,000.00","-107,200.00","-14,000.00","-499,649.00","-11,052.23",-64.30,"-1,224,000.00","-1,499.82",-64.16,"-1,946,000.00",-635.59,NA,"-33,128.00","-1,722.33","-1,818,000.00",-285.00,"-21,100.00","-152,000.00","-208,000.00",NA,"-302,000.00","-320,988.46",NA,NA,"-13,800.00","-3,469.04",-2.36,"-1,950.24",NA,"-991,000.00","-302,000.00",-2.95,"-122,000.00","-120,000.00","-1,414,000.00","-1,304,000.00",NA,"-126,000.00",-831.00,"-623,000.00","-382,000.00","-527,000.00",NA,"-154,000.00","-2,926.84","-12,970.10","-551,000.00",NA,"-106,000.00","-12,489.87","-236,000.00",-266.72,NA,NA,"-38,000.00",NA,"-37,000.00","-1,257.36",NA,"-47,264.00","-256,000.00","-449,000.00",-26.46,"-1,352.16",NA,"-8,310.23","-59,000.00",-27.79,-325.18,"-203,000.00",NA,"-629,000.00",NA,"-2,303,000.00",NA,"-1,734,000.00","-140,000.00","-20,171.00","-35,600.00",NA,"-9,457.32","-428,000.00","-54,529.53",-5.23,"-158,322.00","-4,288.56","-513,000.00",-337.32,"-6,000.00",NA,-98.82,"-163,134.00","-122,000.00","-16,000.00",NA,"-19,100.00",NA,"-249,000.00","-301,019.00","-4,145,000.00","-1,012,000.00",NA
Change in Net Working Capital,272627,"529,000",307,"864,000","(125,000)","(89,080)",(25),NA,"-266,923.00","2,024,000.00","-6,968.66","104,000.00","-77,000.00",-222.56,-122.05,"80,586.69","111,900.00",452.88,125.30,"2,040.36","-1,014.00","-20,240.69",NA,"-75,500.00","-716,000.00","-391,696.00",NA,"-42,036.00","6,834.49","1,082.64","-161,000.00","283,000.00",-176.34,NA,"113,301.00","-9,041.78","1,003,000.00","122,400.00","-9,000.00","-733,653.00","-32,735.66","6,594.62","-23,000.00","-7,153.73",NA,"477,000.00",-110.92,44.30,"21,649.00",-322.16,"635,000.00","44,642.00","78,500.00","341,000.00","409,000.00",NA,"145,000.00",NA,NA,NA,"-11,500.00","3,497.64",-163.69,"-38,874.73",NA,"722,000.00","685,000.00","3,164.60","240,000.00","484,000.00","365,000.00","-73,000.00",NA,"51,000.00","161,328.00","238,000.00","-1,753,000.00","-711,000.00",-13.42,"-45,000.00","5,682.42",509.20,"-24,000.00",NA,"2,490,000.00","-8,487.46","1,545,000.00","-1,069.39",-3.03,-7.56,"-802,000.00",-142.15,"78,000.00","5,397.61",478.27,"45,947.00","2,019,000.00","162,000.00","-4,065.55","27,407.02",-50.23,"359,008.14","298,000.00","4,225.67","4,530.37","545,000.00",7.19,"144,000.00",NA,"-2,927,000.00","-59,970.47","535,000.00","153,000.00","50,652.00","-60,600.00",39.81,"-323,242.76","-564,000.00","4,262.76",-110.88,"-72,454.00","-23,089.39","1,233,000.00",444.43,"-17,000.00",2.03,-464.42,"-59,595.00","654,000.00","21,000.00",NA,"146,800.00",NA,"-351,000.00","151,721.00","4,645,000.00","-32,000.00",NA
Unlevered Free Cash Flow,272626,"(879,000)","(1,899)","1,660,125","482,625","181,802",12,NA,"401,261.13","-1,360,875.00","53,203.15","49,875.00","1,073,125.00","4,996.00",-549.60,"-62,031.68","128,800.00","1,398.44",-183.86,"-1,830.92","34,754.50","22,135.71",NA,"144,875.00","85,875.00","248,130.88",NA,"158,269.75","10,476.60","-1,079.65","536,000.00","-1,985,750.00",449.22,NA,"140,562.75","43,087.66","-999,375.00","127,675.00","75,375.00","1,181,510.75","293,778.91",-745.46,"1,762,375.00","15,300.89",NA,"-540,250.00",-306.83,"6,580.59","95,123.88","1,175.88","-735,500.00","-34,178.38","135,112.50","106,250.00","37,875.00",NA,"264,375.00",NA,NA,NA,"151,737.50","-7,807.07",176.45,"66,332.45",NA,"1,029,375.00","-18,625.00","-3,723.46","374,250.00","70,625.00","-453,375.00","911,625.00",NA,"47,875.00","-158,061.75","114,500.00","3,570,125.00","479,375.00",-301.44,"136,875.00","10,924.20","6,064.98","1,697,375.00",NA,"-1,824,875.00",-460.56,"-644,750.00","1,572.41",98.34,14.82,"2,566,875.00","-1,437.57","425,125.00","-2,937.98",-732.34,"45,211.13","-1,478,625.00","367,375.00","4,252.59","-26,401.88",332.17,"-323,910.98","-237,250.00","-3,305.23","11,961.16","-315,875.00",488.44,"395,750.00",NA,"5,597,125.00",NA,"375,625.00","153,375.00","18,052.63","88,437.50",-34.12,"343,991.78","1,194,125.00","12,519.58",463.68,"115,233.63","46,679.21","980,625.00","-1,870.47","140,875.00",-20.36,-72.38,"131,205.00","44,250.00","77,000.00",NA,"-70,650.00",NA,"980,500.00","-65,019.63","592,500.00","318,750.00",NA
