SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unlevered Free Cash Flow,272626,"(943,250)",423,"1,711,750","415,875","182,401",135,NA,"1,147.50","-2,160,500.00","-14,827.46","-380,125.00","1,336,875.00","-53,379.06",592.34,"34,387.38","64,562.50",846.80,NA,570.67,"48,605.88","35,315.71",NA,"-109,250.00","-688,250.00","150,223.38",NA,"154,041.88","1,944.11","8,040.13","914,625.00","-699,500.00",516.89,NA,"169,833.13","-93,944.13","-840,750.00","-30,275.00","39,806.79","215,362.88","-70,712.71",510.47,"3,171,000.00","27,233.68",NA,"770,125.00","1,395.55","3,215.38","77,304.50","1,370.63","3,054,625.00","-58,160.38","120,500.00",NA,"290,250.00",NA,"200,250.00","-561,476.96",NA,NA,"418,362.50","-2,652.73",NA,"-84,506.88",NA,"1,416,750.00","1,424,000.00",-100.26,NA,"465,250.00","1,088,250.00","3,547,875.00",NA,"101,375.00","134,880.38","509,875.00","4,045,375.00","196,500.00",-14.82,"344,125.00","12,852.11","8,721.44","1,503,087.50",5.21,"-1,418,500.00","22,041.48","1,267,750.00",NA,-349.32,NA,"2,646,125.00",NA,"356,000.00","-1,685.89",440.22,"200,501.38","2,313,625.00","847,000.00",-376.46,"-10,868.72","5,537.95","11,345.51","-26,875.00","-3,833.98","1,063.26","13,250.00",-405.87,"315,662.50",NA,"5,287,500.00",NA,"1,406,125.00","663,000.00","18,602.63","-16,200.00",NA,"-23,477.74","-1,237,343.00","33,826.46",NA,"66,164.13","52,454.70","2,497,875.00","4,936.82","336,875.00","-2,090.65",-447.34,"-165,232.50","940,972.38","117,250.00",NA,"73,933.75",NA,"323,500.00","-107,714.25","-40,388,875.00","569,875.00",NA
Levered Free Cash Flow,272625,"(1,000,750)",376,"1,533,625","345,875","127,513",135,NA,"-23,829.38","-2,584,875.00","-21,742.61","-440,750.00","1,263,125.00","-55,239.56",592.34,"34,025.27","-7,000.00",795.36,NA,509.01,"43,189.25","33,682.09",NA,"-121,375.00","-779,500.00","133,524.88",NA,"135,467.50","1,563.06","8,027.68","799,625.00","-732,625.00",437.26,NA,"153,068.75","-96,224.40","-1,175,125.00","-53,525.00","37,448.64","171,317.25","-72,971.90",333.92,"2,802,875.00","27,073.15",NA,"571,375.00","1,389.93",377.06,"69,167.63","1,196.99","2,757,125.00","-62,742.25","103,187.50",NA,"242,125.00",NA,"115,875.00","-597,435.76",NA,NA,"388,425.00","-2,654.40",NA,"-85,920.04",NA,"1,184,750.00","1,384,625.00",-134.60,NA,"377,750.00","852,625.00","3,439,125.00",NA,"65,125.00","134,880.38","308,000.00","3,914,125.00","132,125.00",-14.82,"313,500.00","12,452.27","7,809.25","1,315,587.50",4.90,"-1,456,000.00","21,912.80","1,185,250.00",NA,-350.06,NA,"2,450,500.00",NA,"321,000.00","-1,703.48",440.22,"192,714.50","2,216,750.00","749,500.00",-376.46,"-10,965.04","5,388.67","10,954.67","-68,750.00","-3,946.44","1,052.09","-7,375.00",-405.87,"199,710.63",NA,"4,903,750.00",NA,"1,408,625.00","596,125.00","13,384.75","-23,450.00",NA,"-26,646.20","-1,342,779.25","32,816.89",NA,"32,696.38","47,326.37","2,284,125.00","4,861.39","323,500.00","-2,160.27",-465.61,"-180,210.00","855,828.25","114,125.00",NA,"69,232.50",NA,"230,375.00","-113,666.75","-41,077,000.00","386,125.00",NA
Cash from Ops. to Curr. Liab. (x),274482,NM,NM,0.65,2.01,1.78,NM,NA,NM,NM,NM,NM,0.87,NM,0.37,0.33,0.37,0.33,NA,0.21,2.05,0.27,NA,NM,NM,1.92,NA,0.85,0.16,2.61,2.74,0.49,0.33,NM,0.40,0.98,0.48,0.25,0.87,0.91,1.58,0.91,2.65,1.15,NA,NM,0.36,0.74,1.91,0.45,0.19,NM,0.23,NA,0.82,NA,0.19,0.31,NA,NA,0.86,NM,NA,NM,NA,0.92,0.15,NM,NA,0.30,1.62,1.16,NA,0.06,5.45,1.35,0.97,0.32,NM,NM,0.66,0.73,1.86,0.01,NM,3.24,0.81,NA,NM,NA,1.22,NA,0.48,NM,NM,0.63,NM,1.81,NM,NM,23.21,0.16,NM,NM,1.67,0.56,NM,1.04,NA,1.27,NA,0.42,0.68,0.67,0.12,NA,0.06,NM,2.00,NA,0.63,NM,0.08,1.65,1.01,NM,NM,NM,0.52,NM,NA,0.46,NA,NM,1.11,1.00,1.04,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Profitability (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Return on Assets,274473,2.70,(9.15),8.73,14.44,3.91,(13.33),NA,4.52,1.04,-3.75,-5.65,6.12,-0.54,-36.06,2.07,5.84,7.15,NA,-8.05,3.92,-1.19,NA,4.28,3.27,5.35,NA,5.86,10.25,55.36,7.00,3.27,0.37,12.58,8.69,7.06,2.23,7.95,0.82,0.34,23.61,5.62,10.64,2.28,NA,1.64,3.97,4.15,7.07,-7.02,2.92,-0.84,3.26,NA,4.35,NA,4.48,3.21,NA,NA,3.51,-2.74,NA,1.68,NA,12.31,10.72,-4.09,NA,3.52,6.57,7.78,NA,-7.64,16.88,7.23,11.67,-9.05,-12.87,-8.19,1.42,11.14,10.13,-0.99,2.51,4.78,11.75,NA,-17.40,NA,14.41,NA,8.26,-1.97,-12.73,4.67,7.04,6.85,5.30,5.73,19.71,1.80,3.53,9.11,44.59,7.83,-10.64,7.18,NA,7.40,0.39,0.14,5.30,9.54,10.02,NA,4.25,-6.06,37.64,NA,4.00,-0.76,2.29,-12.60,4.99,-3.59,-125.75,4.81,4.79,11.41,NA,10.86,NA,-3.09,-0.27,6.31,4.13,NA
Return on Capital,274474,4.13,(9.94),12.90,20.57,4.34,(34.89),NA,9.86,3.39,-4.55,-7.48,7.86,-0.64,-63.00,9.83,7.24,10.72,-1.33,-14.29,4.37,-1.32,NA,5.58,4.89,6.17,NA,7.42,13.20,75.22,9.23,4.85,0.40,NA,12.09,10.53,3.17,10.00,0.96,0.43,26.99,6.26,12.11,3.11,NA,2.81,5.96,4.33,8.13,-7.75,4.04,-1.28,3.92,NA,5.99,NA,5.83,4.38,NA,2.57,4.58,-2.81,NA,2.87,NA,16.36,79.85,-5.07,-12.81,4.58,7.02,12.01,NA,-9.67,18.56,7.61,18.54,-14.76,-13.25,-12.99,1.64,13.93,12.23,-1.18,9.13,5.21,16.94,NA,-17.49,NA,21.28,NA,17.01,-4.38,-20.64,7.08,11.65,9.25,12.71,7.18,20.10,2.63,5.07,10.23,58.55,10.26,-11.10,8.10,NA,10.23,0.39,0.20,6.52,11.33,17.05,1.80,6.75,-6.78,48.21,NA,5.13,-2.14,3.44,-16.05,6.41,-4.01,71.53,7.16,6.80,30.72,NA,15.75,14.19,-4.73,-0.31,8.80,4.94,NA
Return on Equity,274475,10.24,(18.85),70.26,807.18,(0.95),(97.31),NA,16.00,12.50,-15.39,70.86,16.57,-5.03,-145.87,15.18,16.34,14.14,-0.10,83.08,6.15,-37.39,NA,50.73,13.13,8.78,NA,11.73,31.87,100.80,21.50,14.65,-1.55,41.25,27.05,14.68,7.62,24.72,0.87,-1.64,40.52,6.99,43.36,0.78,NA,6.07,10.68,4.71,38.15,-1.66,40.28,-22.94,4.97,NA,17.74,NA,13.46,5.61,NA,4.49,15.81,-4.35,NA,3.03,NA,235.21,-156.40,15.03,-40.07,5.43,17.31,54.16,NA,-42.27,33.82,94.42,290.02,5.16,-21.20,-315.72,2.49,50.46,-81.66,-2.37,28.74,10.73,48.64,NA,-28.56,NA,189.47,NA,-192.35,-7.39,-504.53,12.92,83.21,18.29,24.99,11.20,27.40,8.07,9.17,12.66,68.30,21.24,-18.12,25.45,NA,78.79,12.07,6.49,16.99,32.92,48.27,2.33,10.06,-50.49,109.05,NA,6.58,-14.28,4.42,-25.40,10.44,621.22,-112.48,16.34,68.67,64.13,NA,38.80,18.30,-12.97,-1.64,30.31,11.98,NA
Return on Common Equity,274476,10.31,(18.85),70.26,(107.15),(0.95),(97.31),NA,16.11,11.81,-15.18,70.71,16.19,-5.54,-145.87,14.37,16.45,14.14,-0.10,83.01,6.15,-51.69,NA,50.73,16.28,8.78,NA,11.45,31.91,107.00,21.51,16.05,-1.55,41.25,27.05,13.41,8.36,24.86,0.87,-1.62,40.52,7.27,65.74,0.66,NA,6.19,8.79,5.11,38.15,-1.66,40.45,-23.09,4.20,NA,20.88,NA,13.41,2.47,NA,4.49,15.98,-4.35,NA,3.03,NA,"1,389.99",-156.40,15.03,-40.55,5.43,17.68,53.32,NA,-42.27,33.82,"157,200.00",289.15,5.16,-21.20,-315.72,2.62,49.83,-81.66,-2.37,33.78,10.08,48.79,NA,-28.56,NA,197.64,NA,-185.20,-7.39,-504.53,12.85,83.21,18.26,24.99,5.73,27.40,7.26,9.23,12.52,68.30,21.46,-18.12,25.43,NA,83.51,14.76,4.57,19.85,32.92,48.28,2.33,10.81,-50.49,109.13,NA,6.42,-12.91,4.29,-25.40,10.24,621.22,-112.48,17.22,70.58,64.13,NA,38.80,18.30,-15.41,-2.42,30.17,14.53,NA
Gross Profit Margin,274477,48.46,100.00,74.75,57.81,92.42,54.11,NA,11.09,12.99,-36.82,23.28,52.04,5.07,100.00,7.77,30.24,18.72,17.04,40.06,70.91,6.03,NA,23.74,35.93,71.55,NA,37.39,46.22,78.25,51.83,48.81,28.83,79.65,38.84,89.58,49.25,60.16,22.38,57.73,78.28,38.21,30.76,57.20,NA,41.17,18.57,60.11,23.96,32.75,14.66,50.29,56.54,40.80,35.14,NA,12.11,61.38,NA,109.32,55.48,NA,NA,15.35,NA,39.01,21.25,NA,9.50,55.55,51.58,24.30,NA,34.10,27.02,44.24,33.10,-26.51,NA,30.08,64.64,55.89,52.07,57.95,4.85,52.28,50.41,NA,101.37,-70.16,66.39,NA,48.62,24.72,19.41,14.73,19.00,50.47,75.82,33.03,100.00,21.40,32.17,9.14,67.66,23.19,100.00,33.59,NA,79.93,79.43,57.36,9.21,18.99,25.25,25.91,7.96,NM,45.84,66.68,46.05,6.18,17.80,55.58,10.42,63.34,44.20,32.46,18.85,23.11,NA,36.09,18.75,0.76,27.32,58.86,50.42,NA
Net Income Margin,274478,15.58,NM,27.89,20.06,(1.20),(18.13),NA,2.46,-3.53,-67.20,-17.96,18.87,-25.44,NM,5.42,12.28,4.74,-0.40,-17.12,3.44,-7.57,NA,11.13,14.25,22.34,NA,7.46,13.67,32.85,25.10,26.05,-1.30,24.89,12.46,4.43,16.13,16.62,1.48,-3.35,50.92,20.37,19.33,0.86,NA,-6.24,3.17,24.96,22.53,-1.06,9.00,-6.73,8.75,13.45,18.21,NA,4.93,16.34,NA,8.56,10.42,NA,NA,0.46,NA,10.18,6.83,NA,-10.35,11.20,27.04,2.92,NA,-22.28,14.12,12.82,6.80,5.65,NA,-113.76,2.81,9.44,30.00,-9.46,0.80,31.87,18.35,NA,120.18,-70.16,29.18,NA,13.76,-4.11,-131.62,3.70,23.97,25.50,20.07,13.56,66.46,2.13,3.89,6.00,38.16,10.97,137.18,12.09,NA,24.03,194.90,-2.76,5.03,5.59,7.56,8.15,3.49,NM,41.21,-3.25,3.97,-1.79,4.94,-30.89,2.05,"2,233.94",817.78,13.24,1.84,9.53,NA,12.75,8.82,-3.38,-2.34,15.96,16.09,NA
Earnings from Cont Ops Margin,274479,15.71,NM,27.89,23.27,(1.20),(18.13),NA,2,-4,-68,-18,19,-31,NM,4,12,5,0,-18,3,-8,NA,11,11,22,NA,8,14,33,25,25,-1,25,12,6,15,17,1,-3,51,19,21,1,NA,11,4,24,23,-3,9,-7,9,14,18,NA,5,8,NA,9,11,NA,NA,0,NA,11,7,NA,-10,11,27,3,NA,-22,14,19,7,6,NA,-114,3,11,30,-9,1,39,18,NA,120,-70,29,NA,14,-4,-132,4,24,26,20,14,66,3,4,6,38,11,137,12,NA,24,195,6,5,6,8,8,3,NM,41,-3,4,-2,5,-31,2,NM,NM,13,2,10,NA,13,9,-3,-2,16,16,NA
EBITDA Margin,274480,43.12,NM,51.36,58.69,63.28,(14.68),NA,4,8,-13,-5,35,3,NM,8,23,12,NA,-7,28,0,NA,22,30,69,NA,24,23,48,52,50,8,NA,21,41,46,35,12,36,69,38,30,12,NA,60,8,56,27,-14,13,1,23,20,27,NA,17,22,NA,25,18,NA,NA,1,NA,22,11,NA,0,30,46,5,NA,-10,18,42,12,-47,NA,-13,20,24,50,8,1,36,30,NA,118,NA,58,NA,26,-1,NA,11,16,50,25,23,NA,9,13,9,55,22,130,26,NA,42,59,45,8,11,14,NA,8,NM,44,6,28,3,17,-32,8,-6,-180,30,5,15,NA,17,NA,0,14,38,44,NA
EBIT Margin,274481,23.40,NM,37.11,38.63,37.73,(17.50),NA,3.58,4.127,-68.209,-13.362,25.042,-11.673,NM,5.049,19.474,7.463,-8.507,-19.256,10.794,-2.496,NA,14.431,17.825,39.279,NA,16.057,17.672,46.382,39.566,32.558,1.153,NA,17.148,25.889,23.577,25.276,3.455,2.181,64.457,32.323,23.96,7.178,NA,18.415,4.446,55.937,19.792,-33.863,8.504,-1.304,15.693,16.291,16.109,NA,10.722,14.584,NA,11.257,13.213,NA,NA,0.882,NA,16.699,9.51,NA,-6.791,24.328,36.116,3.454,NA,-19.152,17.459,34.029,10.119,-61.793,NA,-20.68,3.637,15.823,41.016,-8.109,1.07,32.073,25.105,NA,118.599,-70.161,56.824,NA,19.853,-4.024,-119.266,5.659,13.203,39.409,21.444,17.064,94.903,3.89,8.96,8.506,54.375,15.561,134.385,20.799,NA,36.17,58.997,0.85,6.298,8.052,10.327,10.08,5.063,NM,41.053,-3.138,14.387,-0.934,9.671,-36.444,6.09,-29.498,-187.993,19.184,3.694,13.019,NA,14.249,10.943,-3.134,-1.002,25.402,27.908,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Per Share Information ($),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dividends per Share,271522,0.55,NA,1.76,0.03,0.09,NA,NA,NA,NA,NA,0.3,0.83,NA,NA,NA,0.213,NA,NA,NA,NA,NA,NA,NA,0.16,NA,NA,NA,NA,NA,0.093,0.63,NA,NA,0.495,NA,0.965,0.39,0.015795366,NA,NA,0.157328212,0.153,0.065858731,NA,0.38,NA,0.010148979,NA,NA,NA,NA,0.07,NA,0.24,NA,0.045,NA,NA,NA,0.68,NA,NA,NA,NA,0.48,0.194,NA,NA,0.15,0.27,0.16,NA,0.704,NA,NA,0.55,NA,NA,0.378,NA,NA,1.29,NA,0.41,NA,1.48,NA,NA,NA,0.86,NA,0.71,0.011258017,NA,NA,1.45,0.99,NA,0,0.009296667,NA,0.23,NA,0.032180771,0.26,NA,0.935,NA,0.24,NA,0.01,0.18,0.187,0.63,NA,0.004438278,NA,NA,NA,NA,NA,0.475,NA,0.37,NA,NA,0.57,0.45,NA,NA,0.263,NA,0.98,NA,0.628,0.41,NA
Basic EPS Excl. Extra Items,271515,0.92,(0.00),2.85,1.03,(0.01),(0.01),NA,2.755,-0.917,-0.011949822,-1.072,3.372,-0.002251679,-0.000715128,0.440430851,0.674,0.136845163,-0.00012933,-0.002369305,0.078,-0.000380232,NA,0.463,0.455,0.446,NA,1.231,0.156637304,0.0607859,0.309,1.196,-0.000198063,NA,1.619,0.421715817,1.254,1.655,0.026062353,-0.134,0.224111834,0.168770264,1.215,0.004390582,NA,0.512,0.00079548,0.00789365,2.345,-0.000715128,0.82,-0.474,0.279,NA,0.751,-0.000772708,0.191,0.69161394,NA,0.029329979,0.844,-0.017163078,NA,0.005168123,NA,4.209,0.831,0.001579537,-2.204,0.231,0.621,1.535,NA,-3.513,3.994,1.554,1.766,0.196,-0.002927055,-11.529,0.003301056,0.014818381,2.061,-0.00079548,2.747,0.07114458,2.798,NA,-0.012636292,0,0.765,NA,1.441,-0.041279394,-0.001545416,0.906,13.458,2.673,0.145314911,0.063247983,0.037901797,0.075908847,0.209,0.11979069,0.041477438,1.992,-0.005528378,0.865,NA,0.74,0.031327461,0.106,0.514,1.393,2.149,NA,0.018226528,-4.657,0.117154471,-0.000731838,0.109,0,0.511,-0.412396961,0.622,0.240089556,0.007151282,2.036,0.426,1.53,NA,1.029,0.040480378,-1.732,-0.198,1.267,0.35,NA
Basic EPS,271514,0.92,(0.00),2.85,1.03,(0.01),(0.01),NA,2.755,-0.917,-0.011949822,-1.072,3.372,-0.002251679,-0.000715128,0.700022545,0.674,0.136845163,-0.00012933,-0.002369305,0.078,-0.000380232,NA,0.463,0.605,0.446,NA,1.231,0.156637304,0.0607859,0.309,1.231,-0.000198063,NA,1.619,0.421715817,1.254,1.655,0.026062353,-0.134,0.224111834,0.168770264,1.215,0.004390582,NA,-0.296,0.00079548,0.00789365,2.323,0,0.82,-0.474,0.274,NA,0.751,-0.000772708,0.191,4.043652237,NA,0.029329979,0.844,-0.017163078,NA,0.005168123,NA,4.209,0.831,0.001579537,-2.204,0.231,0.621,1.535,NA,-3.513,3.994,1.554,1.766,0.196,-0.002927055,-11.529,0.003301056,0.014818381,2.061,-0.00079548,2.741,0.07114458,2.798,NA,-0.012636292,0,0.765,NA,1.441,-0.041279394,-0.001545416,0.906,13.458,2.673,0.145314911,0.063247983,0.037901797,0.075908847,0.209,0.11979069,0.041477438,1.992,-0.005528378,0.865,NA,0.74,0.031327461,-0.371,0.514,1.393,2.166,NA,0.018226528,-4.657,0.117154471,-0.000731838,0.109,0,0.498,-0.412396961,0.622,0.240089556,0.007151282,2.036,0.426,1.53,NA,1.029,0.040480378,-1.732,-0.198,1.267,0.35,NA
Diluted EPS Excl. Extra Items,271518,0.91,(0.00),2.83,1.03,(0.01),(0.01),NA,2.72,-0.92,-0.011949822,-1.072,3.35,-0.002251679,-0.000715128,0.440430851,0.67,0.131009295,-0.00012933,-0.002369305,0.078,-0.000380232,NA,0.455,0.42,0.43,NA,1.2,0.156637304,0.0607859,0.309,1.19,-0.000198063,NA,1.61,0.421715817,1.254,1.64,0.023693048,-0.134,0.224111834,0.168770264,1.21,0.004390582,NA,0.511,0.00079548,0.00789365,2.33,-0.000715128,0.81,-0.474,0.279,NA,0.667,-0.000772708,0.19,0.69161394,NA,0.029329979,0.84,-0.017163078,NA,0.005168123,NA,4.14,0.83,0.001579537,-2.204,0.23,0.621,1.52,NA,-3.52,3.95,1.54,1.76,0.19,-0.002927055,-11.53,0.003301056,0.014818381,2.05,-0.00079548,2.72,0.07114458,2.77,NA,-0.012636292,0,0.765,NA,1.41,-0.041279394,-0.001545416,0.89,13.43,2.664,0.145314911,0.063239145,0.037901797,0.075908847,0.209,0.11979069,0.041477438,1.98,-0.005528378,0.86,NA,0.72,0.031327461,0.1,0.514,1.36,2.092,NA,0.018226528,-4.66,0.117154471,-0.000731838,0.107,0,0.51,-0.412396961,0.62,0.240089556,0.007151282,2.03,0.42,1.51,NA,1.02,0.040480378,-1.732,-0.2,1.267,0.35,NA
Diluted EPS Incl. Extra Items,271517,0.91,(0.00),2.83,1.03,(0.01),(0.01),NA,2.72,-0.92,-0.011949822,-1.072,3.35,-0.002251679,-0.000715128,0.700022545,0.67,0.131009295,-0.00012933,-0.002369305,0.078,-0.000380232,NA,0.455,0.559,0.43,NA,1.2,0.156637304,0.0607859,0.309,1.225,-0.000198063,NA,1.61,0.421715817,1.254,1.64,0.023693048,-0.134,0.224111834,0.168770264,1.21,0.004390582,NA,-0.296,0.00079548,0.00789365,2.309,0,0.81,-0.474,0.274,NA,0.667,-0.000772708,0.19,4.043652237,NA,0.029329979,0.84,-0.017163078,NA,0.005168123,NA,4.14,0.83,0.001579537,-2.204,0.23,0.621,1.52,NA,-3.52,3.95,1.54,1.76,0.19,-0.002927055,-11.53,0.003301056,0.014818381,2.05,-0.00079548,2.714,0.07114458,2.77,NA,-0.012636292,0,0.765,NA,1.41,-0.041279394,-0.001545416,0.89,13.43,2.664,0.145314911,0.063239145,0.037901797,0.075908847,0.209,0.11979069,0.041477438,1.98,-0.005528378,0.86,NA,0.72,0.031327461,-0.369,0.514,1.36,2.109,NA,0.018226528,-4.66,0.117154471,-0.000731838,0.107,0,0.497,-0.412396961,0.62,0.240089556,0.007151282,2.03,0.42,1.51,NA,1.02,0.040480378,-1.732,-0.2,1.267,0.35,NA
Weighted Avg. Basic Shares Out. (actual),271516,"254,400,000","197,611,744","577,000,000","378,000,000","1,179,894,000","3,250,000",NA,74882000,585400000,2060000000,277000000,290590000,1956934000,122343500,25573863,488200000,6673732,12347378,110233610,67787000,15000000000,NA,78000000,551736000,219923634,NA,49980000,102669230,77019523,2282000000,805900000,326399999,NA,143765000,15545714,769000000,121800000,89678845,278852000,970175347,20846831,2702800000,76449446,NA,977000000,157730000,325027765,41410794,538333333,3980000000,51519000,338600000,NA,766000000,104166667,889000000,88992621,NA,668179775,137700000,53965875,NA,1678100000,NA,338123000,1285000000,281641408,224100000,1409200000,2263000000,780000000,NA,154000000,24950867,252900000,755000000,591000000,6163127,310600000,887780000,531065640,745800000,8865170,162000000,158218286,580500000,NA,47832048,239464000,1857000000,NA,169300000,16504691,111335833,72439000,163100000,251400000,3392714,11076525,156814326,41292222,424900000,21513366,238060344,105400000,70140501,445894000,NA,3041000000,1314508000,933100000,722000000,34105500,61900000,NA,888246000,243004000,828750000,112914031,242159000,44109205726,1511100000,8333000,57900000,130649950,134763999,57600000,509127405,66000000,NA,108122000,5942480,407000000,62511000,4141000000,1214646000,NA
Weighted Avg. Diluted Shares Out. (actual),271519,"255,900,000","197,611,744","581,000,000","379,000,000","1,179,894,000","3,250,000",NA,75794000,585400000,2060000000,277000000,293112000,1956934000,122343500,25573863,489900000,6965288,12347378,110233610,70254000,15000000000,NA,79200000,595930000,228670448,NA,51075000,102669230,77019523,2286000000,805900000,326399999,NA,144938000,15545714,769000000,123200000,89762110,278852000,970415018,20863752,2708600000,76449446,NA,978000000,157730000,325027765,41563268,538333333,4016000000,51519000,341700000,NA,898000000,104166667,889000000,88992621,NA,668179775,138100000,53965875,NA,1690700000,NA,343321000,1293000000,281641408,224100000,1425600000,2263000000,788000000,NA,154000000,25220872,258900000,756000000,609000000,6163127,310600000,887780000,531065640,751000000,8865170,163200000,158218286,586300000,NA,47832048,239464000,1857000000,NA,173200000,16504691,111335833,73846000,163500000,252600000,3392714,11076525,156814326,41292222,427600000,21513366,238060344,106000000,70140501,446885000,NA,3107000000,1314508000,947900000,722000000,34929000,63400000,NA,888759000,243004000,828750000,112914031,247527000,44109205726,1514100000,8333000,58500000,130649950,134763999,57679000,510738760,67000000,NA,109194000,5942480,407000000,62511000,4142000000,1217211000,NA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
