SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,271473,"867,000",NA,"4,940,000","1,381,000","462,628",121,NA,"857,826","1,956,000","92,652","596,000","2,027,000","10,087",610,"49,184","823,100","4,381",17,-5,"122,129","12,774",NA,"185,200","1,123,000","239,190",NA,"352,769","72,577","1,701","1,758,000","1,699,000","2,313","10,124","711,110","102,074","3,724,000","761,700","87,000","669,927","440,772","8,952","3,894,000","53,986",NA,"2,362,000","1,706","9,832","175,995","7,301","3,609,000","133,251","904,200","1,901,000","993,000",963,"1,082,000","1,919,965",NA,"346,221","494,100",NA,28,"369,237",NA,"6,961,000","2,888,000",NA,"744,000","1,940,000","2,055,000","10,085,000",NA,"1,524,000","92,204","1,448,000","7,527,000","982,000",NA,"2,185,000","77,167","70,241","3,439,000",34,"2,904,000","14,346","2,533,000",862,-211,206,"3,280,000",NA,"1,195,000","11,442",15,"307,177","2,133,000","1,267,000",213,"4,784","-2,084","36,255","512,000","25,718","25,785","635,000",-165,"1,884,000",NA,"8,843,000","9,705","3,633,000","661,000","204,855","352,200",67,"33,242","1,798,000","25,503","1,770","256,898","81,779","3,561,000","5,121","235,000",NA,-38,"300,170","3,648,000","278,000",NA,"344,500",233,"2,666,000","234,880","20,109,000","1,738,000",NA
Earnings from Cont. Ops.,271505,"262,000",(978),"(113,000)","212,000","343,451",10,NA,"83,098.00","-355,000.00","52,717.76","81,000.00","281,000.00","-3,091.12",-787.92,"30,469.88","319,900.00","1,416.57",-64.78,-807.77,784.00,"3,814.71",NA,"80,400.00","350,000.00","6,851.00",NA,"74,482.00","18,362.62",-672.53,"880,000.00","285,000.00",519.36,"3,633.09","602,102.00","-6,303.26","1,154,000.00","126,100.00","-18,000.00","103,063.00","153,076.11","4,751.68","1,692,000.00","11,910.01",NA,"658,000.00",262.35,"10,422.55","120,849.00",-439.05,"1,334,000.00","-24,314.00","207,400.00","388,000.00","225,000.00","-2,642.20","609,000.00","350,772.27",NA,"99,084.88","59,100.00","-4,337.18",-102.82,"7,786.08",NA,"1,802,000.00","622,000.00","-1,013.68","-141,000.00","454,000.00","773,000.00","962,000.00",NA,"14,000.00","17,053.00","839,000.00","2,260,000.00","-231,000.00",-525.19,"155,000.00","9,812.61","2,860.79","1,929,000.00",15.86,"997,000.00","-3,116.40","710,000.00",358.10,-284.23,13.26,"2,129,000.00",-744.08,"-38,000.00","3,671.81",-279.87,"-34,459.00","944,000.00","53,000.00",-374.59,"1,480.15","-1,588.26","5,636.67","-9,000.00",840.12,"12,863.22","277,000.00",-289.66,"639,000.00",NA,"2,420,000.00","-3,865.99","706,000.00","341,000.00","35,093.00","3,900.00",7.09,"19,704.70","364,000.00","17,179.46",136.82,"92,138.00","-23,820.50","1,743,000.00","-4,996.04","98,000.00","3,144.03",-638.25,"87,562.00","503,000.00","91,000.00",NA,"64,900.00",19.41,"1,330,000.00","-76,902.00","4,722,000.00","662,000.00",NA
Net Income,271510,"261,000",(976),"(113,000)","132,000","341,159",10,NA,"83,601.00","-343,000.00","52,541.17","81,000.00","281,000.00","-2,593.47",-787.92,"29,859.65","319,700.00","1,416.57",-64.78,-807.77,784.00,"3,250.99",NA,"80,400.00","350,000.00","6,851.00",NA,"72,960.00","17,940.30",-672.53,"880,000.00","403,000.00",519.33,"3,633.09","632,221.00","-7,661.40","1,138,000.00","124,900.00","-18,000.00","103,488.00","153,076.11","4,134.51","1,239,000.00","11,685.93",NA,"658,000.00",229.84,"9,756.41","120,849.00",-439.05,"1,332,000.00","-24,296.00","207,400.00","374,000.00","209,000.00","-2,642.20","606,000.00","276,785.48",NA,"99,103.14","58,200.00","-4,337.18",-102.82,"7,786.08",NA,"1,591,000.00","622,000.00",-999.84,"-141,000.00","454,000.00","746,000.00","962,000.00",NA,"14,000.00","17,053.00","502,000.00","2,260,000.00","-231,000.00",-525.19,"155,000.00","9,719.06","3,157.06","1,929,000.00",15.86,"958,000.00","-3,598.23","928,000.00",358.10,-284.23,13.26,"2,129,000.00",-744.08,"-39,000.00","3,671.81",-279.87,"-41,180.00","944,000.00","53,000.00",-374.59,"1,444.94","-1,588.26","4,939.69","-9,000.00",835.40,"12,863.22","299,000.00",-289.66,"639,000.00",NA,"2,420,000.00","-3,865.99","888,000.00","265,000.00","35,093.00","3,800.00",7.09,"28,615.31","360,000.00","17,180.81",136.82,"92,138.00","-23,747.85","1,709,000.00","-4,996.04","98,000.00","3,144.03",-638.25,"87,737.00","503,000.00","91,000.00",NA,"64,900.00",19.41,"1,245,000.00","-77,004.00","4,602,000.00","632,000.00",NA
EBITDA,271528,"844,000","(1,010)","3,151,000","1,089,000","264,546",15,NA,"229,665.0","510,000.0","78,033.1","244,000.0","1,063,000.0","6,400.5",-637.9,"38,428.0","605,400.0","2,601.9",-32.6,-539.0,"40,109.0","6,740.0",NA,"177,300.0","976,000.0","184,102.0",NA,"235,433.0","28,950.9",-870.5,"1,758,000.0","1,570,000.0",963.8,NA,"355,297.0","35,512.6","3,485,000.0","391,300.0","53,000.0","678,826.0","376,176.4","8,900.9","3,634,000.0","20,307.4",NA,"1,819,000.0",342.5,"9,358.7","200,998.0","2,000.8","2,714,000.0","-14,546.0","375,900.0","792,000.0","594,000.0",NA,"1,250,000.0","672,992.0",NA,"89,890.1","169,300.0",359.8,-44.3,"44,374.3",NA,"3,355,000.0","1,233,000.0",-541.9,"180,000.0","935,000.0","1,810,000.0","2,538,000.0",NA,"286,000.0","20,209.0","1,443,000.0","3,855,000.0","15,000.0",NA,"457,000.0","25,956.2","21,425.4","3,228,000.0",361.0,"1,165,000.0","7,249.4","1,554,000.0",475.0,-275.1,39.8,"2,846,000.0",NA,"657,000.0","5,768.4",NA,"141,641.0","1,538,000.0","1,267,000.0",-207.9,"2,706.8",NA,"18,563.5","140,000.0","1,157.8","20,044.3","534,000.0",NA,"1,321,000.0",NA,"4,748,000.0","10,283.5","2,713,000.0","611,000.0","99,677.0","101,900.0",-7.3,"33,241.6","1,137,000.0","28,665.1",315.4,"243,255.7","36,395.6","2,900,000.0","-5,266.3","188,000.0",NA,-538.8,"281,398.0","1,060,000.0","140,000.0",NA,"123,200.0",82.1,"2,398,000.0","146,063.0","12,072,000.0","1,560,000.0",NA
EBIT,271530,"447,000","(1,022)","1,752,000","609,000","122,123",12,NA,"187,938.0","68,000.0","67,060.0","181,000.0","502,000.0","3,595.5",-726.1,"28,733.9","508,800.0","1,853.9",-105.5,-694.6,"12,744.0","5,818.6",NA,"130,400.0","613,000.0","65,452.0",NA,"150,076.0","18,628.6","-1,024.5","1,348,000.0","876,000.0",783.6,NA,"273,526.0","20,522.0","1,951,000.0","224,700.0","9,000.0","192,076.0","257,298.1","7,735.3","2,380,000.0","18,255.5",NA,"1,105,000.0",252.0,"9,342.0","164,316.0",-122.8,"1,209,000.0","-19,021.0","239,100.0","644,000.0","257,000.0",NA,"987,000.0","458,305.5",NA,"64,465.0","131,000.0",316.0,-90.6,"37,474.5",NA,"2,560,000.0","1,028,000.0",-951.3,"-34,000.0","765,000.0","1,223,000.0","1,581,000.0",NA,"98,000.0","19,536.0","1,141,000.0","3,390,000.0","-393,000.0",-528.0,"239,000.0","12,007.0","9,118.1","2,718,000.0",16.6,"1,006,000.0","6,068.3","1,263,000.0",445.5,-282.0,19.2,"2,781,000.0",-779.3,"574,000.0","5,218.5",-233.2,515.0,"1,239,000.0","930,000.0",-333.6,"1,878.4","-2,514.5","9,221.5","55,000.0","1,125.7","19,505.3","407,000.0",-283.3,"1,067,000.0",NA,"3,441,000.0","10,283.2","1,020,000.0","357,000.0","59,342.0","39,000.0",-11.5,"25,771.1","750,000.0","15,232.6",142.6,"153,747.7","7,886.3","1,841,000.0","-5,938.7","152,000.0",-44.5,-588.6,"162,256.0","854,000.0","122,000.0",NA,"92,500.0",27.8,"1,703,000.0","-14,116.0","7,627,000.0","1,012,000.0",NA
EBITDA / Interest Expense (x),274484,5.48,NM,3.82,14.01,2.97,13.73,NA,2.28,0.90,5.18,3.82,9.58,1.08,NM,39.27,5.65,34.80,NA,NM,4.82,7.00,NA,2.54,4.80,4.94,NA,7.36,17.51,NM,8.77,2.73,8.74,NA,9.77,4.90,4.35,6.55,1.96,12.49,31.50,13.95,5.09,115.79,NA,3.89,12.77,2.61,17.07,6.66,9.87,1.45,8.54,5.76,7.85,NA,11.78,10.57,NA,NM,4.40,0.07,NM,17.41,NA,7.04,11.35,NA,10.86,5.55,3.84,18.32,NA,4.20,NA,5.79,11.29,9.14,NA,14.41,34.43,4.28,10.36,284.20,27.44,23.60,4.82,171.04,NM,16.05,11.34,NA,11.51,NA,NA,6.26,11.35,6.30,NM,19.39,NA,3.17,2.39,16.07,236.38,34.86,NA,4.40,NA,5.45,0.23,10.31,6.43,5.66,3.56,NA,NA,4.11,15.17,32.77,7.90,1.78,7.18,NM,6.50,NA,NM,3.93,8.41,8.92,NA,8.24,9.39,17.13,3.14,8.23,4.47,NA
EBIT / Interest Expense (x),274483,2.90,NM,2.13,7.71,1.37,10.92,NA,1.86,0.12,4.45,2.03,4.52,0.61,NM,29.36,4.75,24.79,NA,NM,1.53,6.04,NA,1.85,3.01,1.75,NA,4.29,11.27,NM,6.42,1.52,6.40,NA,7.52,2.83,2.39,3.76,0.33,3.53,21.55,12.12,3.31,99.83,NA,2.36,9.40,2.60,13.78,NM,4.14,NM,5.43,4.35,3.10,NA,8.66,6.72,NA,NM,3.40,0.06,NM,10.96,NA,5.00,8.86,NA,NM,4.30,2.59,10.33,NA,1.17,NA,4.29,9.29,NM,NA,6.46,15.93,1.82,7.31,13.05,21.40,19.39,3.70,160.42,NM,4.58,11.08,NA,9.41,NA,NA,0.01,8.49,4.63,NM,13.45,NM,1.57,0.70,12.93,230.02,25.44,NA,3.56,NA,3.95,0.23,3.59,3.61,2.95,1.22,NA,NA,2.44,5.47,14.81,4.54,0.34,4.38,NM,4.75,NM,NM,2.27,6.37,7.63,NA,5.71,3.19,12.16,NM,4.67,2.90,NA
Avg. Days Sales Out.,274485,41.5,NA,89.8,74.8,44.9,47.7,NA,151.43,64.80,19.00,12.09,46.93,86.21,NA,91.22,30.15,67.42,NA,NM,64.49,55.05,NA,12.46,39.47,27.71,NA,70.50,63.80,58.11,34.52,55.11,30.69,NA,69.08,204.20,47.63,62.69,89.36,45.88,NA,85.87,40.27,76.68,NA,36.83,58.55,19.65,33.56,11.00,24.48,57.54,62.42,73.04,48.83,NA,78.10,NA,NA,NA,99.84,NA,NA,38.05,NA,52.51,28.05,NA,33.36,35.15,36.28,4.96,NA,NA,7.97,NM,NA,5.08,NA,5.07,0.90,38.84,35.38,126.49,23.74,38.20,63.16,NA,NA,115.22,1.43,NA,104.18,61.35,33.28,101.98,69.28,26.19,NM,55.11,NM,36.39,59.26,89.65,37.29,54.07,NA,32.40,NA,49.62,118.43,49.24,30.48,20.04,14.69,NM,48.48,10.05,48.44,30.00,33.74,19.09,109.27,139.10,43.32,NA,160.96,54.14,24.19,17.85,NA,39.34,NA,33.33,61.29,70.28,40.66,NA
Avg. Days Inventory Out.,274486,73.3,NA,331.1,71.9,110.8,222.3,NA,74.06,508.19,9.94,84.18,112.93,NM,NA,38.78,100.71,0.07,NA,NA,NA,22.06,NA,NA,43.56,11.32,NA,51.22,129.38,304.38,21.08,80.43,112.70,NA,92.73,0.02,98.83,NA,48.97,NA,NA,NA,12.17,348.53,NA,19.64,117.26,NA,63.56,24.22,42.76,178.42,80.18,65.36,123.48,NA,62.48,NA,NA,NA,115.51,NA,NA,NA,NA,17.20,61.60,NA,NA,76.59,27.32,23.29,NA,149.26,NM,13.68,116.83,13.78,NA,135.13,26.44,31.17,1.65,255.00,25.55,102.61,115.49,NA,NA,NA,77.77,NA,62.83,98.52,55.77,4.22,14.10,13.99,91.14,232.77,NA,41.62,128.64,NA,NA,79.12,NA,24.97,NA,NA,NM,80.68,4.15,63.99,121.78,NM,65.33,11.41,9.44,NA,NA,47.21,69.83,192.94,3.63,NA,38.60,5.84,26.01,NA,NA,161.93,NA,25.45,50.44,14.61,22.40,NA
Accounts Receivable Turnover (x),274489,8.76,NA,4.06,4.87,8.19,7.63,NA,2,6,19,30,8,4,NA,4,12,5,NA,1,6,7,NA,29,9,13,NA,5,6,6,11,7,12,NA,5,2,8,6,4,8,NA,4,9,5,NA,10,6,19,11,33,15,6,6,5,7,NA,5,NA,NA,NA,4,NA,NA,10,NA,7,13,NA,11,10,10,90,NA,NA,46,0,NA,72,NA,72,NM,9,10,3,15,10,6,NA,NA,3,255,NA,3,6,11,4,5,14,0,7,NM,10,6,4,10,7,NA,11,NA,7,3,7,12,18,25,0,7,36,8,12,11,19,3,3,8,NA,2,7,15,20,NA,10,NA,11,6,5,9,NA
Inventory Turnover (x),274490,4.97,NA,1.10,5.06,3.32,1.64,NA,5,1,37,4,3,0,NA,9,4,NM,NA,NA,NA,16,NA,NA,8,32,NA,7,3,1,17,5,3,NA,4,NM,4,NA,7,NA,NA,NA,30,1,NA,19,3,NA,6,15,9,2,4,6,3,NA,6,NA,NA,NA,3,NA,NA,NA,NA,21,6,NA,NA,5,13,19,NA,2,0,27,3,26,NA,3,14,12,221,1,14,4,3,NA,NA,NA,5,NA,6,4,7,86,26,26,4,2,NA,9,3,NA,NA,5,NA,15,NA,NA,1,5,88,6,3,0,6,32,39,NA,NA,8,5,2,100,NA,10,62,14,NA,NA,2,NA,14,7,25,16,NA
Fixed Asset Turnover (x),274488,0.21,NA,4.73,0.78,0.26,218.95,NA,42,6,3,2,3,0,2,9,4,22,NA,3,14,8,NA,1,0,0,NA,2,5,7,0,0,1,NA,7,8,0,3,3,0,11,15,1,9,NA,0,5,0,1,1,4,5,10,8,1,NA,4,NA,NA,NA,7,NA,NA,34,NA,2,13,NA,5,4,0,6,NA,1,30,0,4,1,NA,2,3,2,1,2,78,1,3,NA,NM,2,12,NA,6,4,2,6,4,0,1,3,NA,4,4,34,16,2,NA,1,NA,3,28,0,3,7,5,0,4,0,1,79,0,3,4,4,33,NA,1,1,14,130,NA,5,NA,4,0,1,0,NA
Total Asset Turnover (x),274487,0.17,NA,0.31,0.52,0.17,2.57,NA,1,0,1,1,0,0,0,1,1,2,NA,0,1,2,NA,0,0,0,NA,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,1,NA,0,1,0,1,1,1,1,0,1,0,0,1,NA,NA,NA,0,NA,NA,4,NA,1,1,NA,1,0,0,4,NA,1,0,0,2,1,NA,1,1,1,0,0,5,0,0,NA,NM,0,1,NA,1,1,0,1,1,0,0,1,NM,1,1,1,1,1,NM,0,NA,0,0,0,2,1,1,0,1,0,0,1,0,1,0,1,1,NA,1,1,3,1,NA,1,NA,2,0,0,0,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"492,000",(887),"689,000","368,000","194,153",(11),NA,"403,210","-3,362,000","78,452","44,000","841,000","3,277",-290,"46,720","443,500","1,185",-100,-85,"33,468","2,998",NA,"254,700","538,000","185,065",NA,"129,888","7,596",-565,"1,066,000","1,982,000","1,368","7,362","166,592","-36,249","2,474,000","252,700","101,000","1,155,663","-13,571","4,714","3,772,000","44,958",NA,"992,000",569,"6,086","140,487","2,284","1,385,000",622,"256,700","419,000","96,000",-625,"487,000","610,785",NA,NA,"177,800",-898,-513,"31,081",NA,"2,469,000","121,000",-207,"-173,000","85,000","1,189,000","2,860,000",NA,"-202,000","-99,493","1,246,000","2,106,000","-104,000",-421,"105,000","15,186","23,175","2,390,000",-5,"-1,052,000","4,676","767,000",-153,174,45,"2,877,000",-879,"382,000","24,998",-137,"107,750","-706,000","839,000",22,"-14,568","1,820","17,045","32,000","-1,056","13,305","24,000",-401,"596,000",NA,"6,974,000",NA,"2,007,000","419,000","35,176","-105,400",32,"2,512","1,328,000","30,137",566,"331,930","24,956","342,000","-2,686","82,000",-30,-551,"543,709","87,000","91,000",NA,"-92,200",-161,"1,846,000","103,666","7,084,000","1,234,000",NA
Cash from Investing,272601,"(906,000)",(995),"(217,000)","(88,000)","(698,034)",NA,NA,"-24,396","2,074,000","-56,015","-94,000","-233,000",-328,-42,"-16,768","-138,400",-50,1,-322,"-6,013",-89,NA,"-153,400","-844,000","-159,660",NA,"-85,792","-52,574",94,"-486,000","1,385,000",-62,-247,"429,851","-2,376","-3,342,000","-131,900","-7,000","-567,152","2,714",264,"-1,196,000","-1,807",NA,"-1,767,000",-508,"-5,195","-91,052","-1,461","-5,880,000","-1,330","-1,737,400","-188,000","-184,000",-261,"-381,000","-282,051",NA,NA,"-48,100","-18,200",453,"-7,596",NA,"-903,000","-228,000",161,"-113,000","-193,000","-572,000","-947,000",NA,"-94,000","2,018","-666,000","-304,000","-585,000",NA,"-270,000","-16,386","-10,159","-2,493,000",-286,"-149,000","9,044","-393,000",-321,NA,41,"2,316,000",NA,"-47,000","-3,498",NA,"-13,031","-269,000","-1,844,000",-233,"2,425",NA,"-2,793","-50,000",-53,-761,"-146,000",NA,"-578,000",NA,"-1,562,000",NA,"-1,810,000","-261,000","-370,724","-56,700",2,"6,793","-296,000","-58,808",-91,"-153,889","-45,781","693,000",-643,"336,000",655,-6,"-199,790","-380,000","-47,000",NA,"-19,100",5,"-637,000","-769,547","-5,245,000","-2,436,000",NA
Cash from Financing,272618,"497,000",113,"(1,708,000)","(265,000)","774,321",(5),NA,"-317,662","-4,462,000","-57,901","-135,000","-862,000","-1,043",936,"-5,390","-307,100",-449,NA,-207,"-35,203","-2,354",NA,"-101,100","376,000","-23,860",NA,"18,346","-13,871",-110,"-450,000","-3,332,000","-1,084",NA,"-80,782","-11,715","1,029,000","-131,900","-78,000","-21,440","-169,361","-1,218","-791,000","-16,551",NA,"982,000",-47,"-1,059","-11,528",-133,"-458,000","-4,703","306,900","-153,000","-308,000",-14,"-422,000","-354,463",NA,NA,"-108,900",-503,154,"-22,029",NA,"-1,216,000","-708,000",-14,"-38,000","158,000","-570,000","-296,000",NA,"429,000","97,493","-264,000","-200,000","-232,000",338,"-94,000","-9,918","-3,780","-3,661,000",291,"-843,000","-6,720","4,621,000",-18,-17,-27,"-5,268,000","7,639","-512,000","-2,338",307,"-374,822","927,000","89,000",212,"4,111","-1,639","44,815","60,000","-1,112","-10,497","-234,000",-10,"-291,000",NA,"-3,528,000",NA,"-328,000","-273,000","341,749","115,700",NA,"-7,923","-1,091,000","-24,971",-22,"-46,904","-30,303","-2,007,000",-671,"-105,000",-757,563,"7,694","66,000","-243,000",NA,"114,100",-156,"-1,644,000","1,278,348","-1,428,000","-281,000",NA
Foreign Exchange Rate Adj.,272619,NA,-2.55,NA,NA,NA,NA,NA,"-36,395.00","-28,000.00",NA,"-1,000.00","7,000.00",-11.94,NA,515.75,"1,400.00",NA,NA,106.15,-87.00,0.48,NA,NA,NA,NA,NA,"-8,387.00",154.16,NA,NA,NA,NA,NA,"-1,568.00",NA,NA,"-4,700.00","-1,000.00",NA,"13,027.75",-93.97,NA,728.45,NA,NA,NA,NA,NA,NA,"-171,000.00",691.00,"-10,400.00","-19,000.00","-18,000.00",NA,"-57,000.00",488.54,NA,NA,"4,000.00",-5.59,NA,"2,532.06",NA,"-1,000.00",NA,-2.37,"-15,000.00",NA,NA,NA,NA,NA,NA,"-3,000.00",NA,NA,NA,NA,NA,NA,"21,000.00",NA,"2,000.00",391.46,"-17,000.00",NA,NA,NA,NA,-14.92,"-16,000.00",8.23,NA,-132.00,NA,NA,NA,23.02,NA,NA,"-3,000.00",364.31,NA,"-5,000.00",NA,NA,NA,"-36,000.00",NA,NA,"-4,000.00",NA,"-2,800.00",NA,NA,"-1,000.00","21,639.23",NA,NA,NA,"-8,000.00",585.85,NA,NA,NA,-197.00,"-11,000.00",NA,NA,"2,600.00",0.53,"-72,000.00",617.00,NA,NA,NA
Net Change in Cash,272621,"83,000","(1,771)","(1,236,000)","15,000","270,439",(16),NA,"24,757.00","-5,778,000.00","-35,464.98","-186,000.00","-247,000.00","1,895.11",603.51,"25,078.02","-1,600.00",685.28,-98.92,-507.55,"-7,835.00",555.90,NA,200.00,"70,000.00","1,545.00",NA,"54,055.00","-58,693.29",-580.54,"130,000.00","35,000.00",221.68,"7,115.33","514,093.00","-50,340.33","161,000.00","-15,800.00","15,000.00","567,071.00","-167,189.51","2,144.20","1,785,000.00","27,328.86",NA,"207,000.00",14.22,-168.32,"37,907.00",690.18,"-5,124,000.00","-4,720.00","-1,184,200.00","59,000.00","-414,000.00",-899.63,"-373,000.00","3,419.79",NA,NA,"24,800.00","-19,607.52",93.11,"3,987.99",NA,"349,000.00","-815,000.00",-61.91,"-339,000.00","50,000.00","47,000.00","1,617,000.00",NA,"133,000.00",18.00,"313,000.00","1,602,000.00","-921,000.00",-82.07,"-259,000.00","-11,118.00","9,235.31","-3,741,000.00",0.39,"-2,042,000.00","7,391.58","4,978,000.00",-491.50,157.41,59.23,"-75,000.00","6,744.79","-193,000.00","19,169.73",169.69,"-280,235.00","-48,000.00","-916,000.00",1.14,"-8,009.71",180.40,"59,066.75","39,000.00","-1,855.71","2,046.63","-361,000.00",-410.06,"-273,000.00",NA,"1,848,000.00",NA,"-131,000.00","-119,000.00","6,201.00","-49,200.00",33.41,"1,382.02","-60,000.00","-32,003.72",452.66,"131,137.00","8,923.18","-980,000.00","-3,414.67","313,000.00",-131.92,6.22,"351,416.00","-238,000.00","-199,000.00",NA,"5,400.00",-310.63,"-507,000.00","613,084.00","411,000.00","-1,483,000.00",NA
Capital Expenditure,272592,"(902,000)",(995),"(230,000)","(530,000)","(183,349)",NA,NA,"-29,535.00","-567,000.00","-2,905.05","-93,000.00","-116,000.00",-519.29,-42.27,"-10,955.40","-143,600.00",-51.00,NA,NA,-708.00,-358.66,NA,"-155,000.00","-845,000.00","-168,184.00",NA,"-79,144.00","-3,757.42",-9.85,"-517,000.00","-2,930,000.00",-62.83,-62.83,"-40,050.00",-173.70,"-3,208,000.00","-131,900.00","-17,000.00","-534,468.00",-542.82,-112.96,"-795,000.00","-2,438.66",NA,"-1,767,000.00",-512.99,NA,"-35,999.00","-1,427.50","-2,094,000.00","-1,678.00","-26,400.00","-145,000.00","-252,000.00",NA,"-330,000.00","-286,339.17",NA,NA,"-22,100.00","-17,140.19",-1.22,"-2,278.85",NA,"-1,118,000.00","-158,000.00",NA,"-100,000.00","-158,000.00","-619,000.00","-1,028,000.00",NA,"-94,000.00","-1,001.00","-650,000.00","-380,000.00","-592,000.00",NA,"-215,000.00","-5,283.50","-9,401.07","-547,000.00",NA,"-78,000.00","-2,352.46","-375,000.00",-300.94,NA,-1.33,"-35,000.00",NA,"-46,000.00",-739.17,NA,"-25,409.00","-270,000.00","-2,199,000.00",-232.81,-118.24,NA,"-2,641.38","-59,000.00",-52.68,-90.36,"-152,000.00",NA,"-512,000.00",NA,"-1,314,000.00",NA,"-1,925,000.00","-157,000.00","-15,495.00","-72,100.00",NA,"-9,344.03","-242,000.00","-67,856.20",-2.72,"-155,598.00","-45,734.67","-467,000.00",-76.48,"-6,000.00",NA,-6.24,"-221,198.00","-171,000.00","-18,000.00",NA,"-19,100.00",NA,"-200,000.00","-374,926.00","-4,376,000.00","-544,000.00",NA
Change in Net Working Capital,272627,"315,000",374,"8,000","284,000","(12,442)",31,NA,"-406,392.00","3,824,000.00","-5,731.12","90,000.00","-419,000.00",573.76,-302.98,"-5,931.18","23,200.00",972.83,NA,-653.06,"19,823.00","2,983.74",NA,"-78,900.00","1,669,000.00","-14,036.00",NA,"51,680.00","65,557.83",642.79,"194,000.00","-4,759,000.00",-360.84,NA,"-132,700.00","30,445.86","6,000.00","70,800.00","-62,000.00","-552,905.00","3,735,057.00","3,604.11","-470,000.00","-30,409.04",NA,"487,000.00",-214.11,"9,591.79","41,995.00","-1,714.96","1,529,000.00","-24,804.00","141,500.00","29,000.00","306,000.00",NA,"455,000.00",NA,NA,NA,"-89,900.00","12,871.49",NA,"18,104.21",NA,"-247,000.00","639,000.00",-259.37,"322,000.00","637,000.00","126,000.00","-887,000.00",NA,"366,000.00","99,707.00","498,000.00","583,000.00","316,000.00",-83.08,"5,000.00","9,200.39","-7,227.47","196,000.00",-231.43,"1,908,000.00","-8,131.32","97,000.00",NA,1.12,2.08,"-1,046,000.00",257.12,"96,000.00","-12,371.00",-204.78,"-34,756.00","1,160,000.00","-519,000.00",-125.66,"17,671.51",-130.31,"22,559.73","48,000.00","4,505.56",239.66,"480,000.00",-45.13,"420,000.00",NA,"-2,563,000.00","-96,752.78","439,000.00","101,000.00","69,574.00","159,800.00",-8.34,"-187,766.09","-444,000.00","9,033.97",731.19,"-125,351.00","-1,729.33","1,018,000.00","-3,133.87","-289,000.00",-17.69,426.81,"-501,405.00","686,093.00","25,000.00",NA,"195,100.00",NA,"-300,000.00","-39,183.00","4,723,000.00","130,000.00",NA
Unlevered Free Cash Flow,272626,"(532,625)","(1,825)","2,359,000","46,625","44,896",(21),NA,"549,492.25","-3,181,500.00","55,711.27",125.00,"1,260,750.00","3,959.13",-57.05,"22,628.56","245,100.00",882.85,NA,52.44,"16,568.00","1,215.57",NA,"60,900.00","-1,767,875.00","12,783.50",NA,"81,655.50","-49,438.83","-1,116.09","557,500.00","3,070,500.00","1,073.55",NA,"360,064.75","-5,752.43","-460,625.00","145,537.50","100,625.00","635,785.50","-3,455,910.23","2,142.31","2,462,500.00","43,441.23",NA,"-683,375.00",-50.91,"-3,753.05","67,842.50","2,197.11","-1,236,375.00","17,060.88","147,237.50","410,500.00",-375.00,NA,"94,875.00",NA,NA,NA,"154,275.00","-29,670.86",NA,"21,649.10",NA,"1,611,000.00","227,500.00",76.45,"350,750.00","-149,875.00","606,375.00","2,041,125.00",NA,"-201,750.00","-83,996.00","-92,875.00","1,679,750.00","-745,625.00",-225.36,"80,375.00","7,365.36","15,126.71","1,515,750.00",244.03,"-1,244,250.00","10,889.60","653,375.00",NA,-157.98,56.79,"2,814,125.00",-744.21,"355,750.00","15,573.07",59.01,"160,467.88","-336,625.00","-742,750.00",-189.95,"-15,787.32","-1,441.25","-10,240.09","28,375.00","-3,581.30","12,246.18","-237,625.00",-122.14,"-11,125.00",NA,"5,723,625.00",NA,"-33,500.00","228,125.00","-2,185.25","-132,125.00",5.35,"201,878.47","1,102,750.00","-40,373.43",-537.17,"173,579.31","-5,248.83","755,625.00",322.29,"426,000.00",-10.10,-751.11,"501,720.00","-64,343.00","84,250.00",NA,"-117,287.50",NA,"1,859,375.00","-148,234.50","-336,125.00","530,500.00",NA
