,,,,,,,,,,,
DS,,,,,,,,,,,
List Data exported on 05/27/2026 4:25:23 PM ET  ,,,,,,,,,,,
Ticker ,Entity Name ,Last Time ,MI KEY ,,,,,,,,
NWL,Newell Brands Inc. (NASDAQGS:NWL),4:00:00 PM ET  ,4066321,,,,,,,,
NWL,Nu-World Holdings Limited (JSE:NWL),9:23:26 AM ET  ,4910566,,,,,,,,
NWL,Netwealth Group Limited (ASX:NWL),2:14:38 AM ET  ,9037983,,,,,,,,
OC,Owens Corning (NYSE:OC),4:00:03 PM ET  ,4014547,,,,,,,,
OC,Olive Resource Capital Inc. (TSXV:OC),2:13:25 PM ET  ,4355493,,,,,,,,
OKE,"ONEOK, Inc. (NYSE:OKE)",4:00:03 PM ET  ,4010846,,,,,,,,
ORCL,Oracle Commodity Holding Corp. (TSXV:ORCL),3:47:26 PM ET  ,101477040,,,,,,,,
ORCL,Oracle Corporation (NYSE:ORCL),4:02:03 PM ET  ,4041363,,,,,,,,
ORCL,CPI FIM SA (BDL:ORCL),5:56:11 AM ET  ,4210825,,,,,,,,
OXY,Occidental Petroleum Corporation (NYSE:OXY),4:00:02 PM ET  ,4010841,,,,,,,,
PAA,"Plains All American Pipeline, L.P. (NASDAQGS:PAA)",4:00:00 PM ET  ,4095757,,,,,,,,
PATK,"Patrick Industries, Inc. (NASDAQGS:PATK)",4:00:00 PM ET  ,4987464,,,,,,,,
PII,Polaris Inc. (NYSE:PII),4:00:02 PM ET  ,6331267,,,,,,,,
RCL,Cho Lon Real Estate JSC (HNX:RCL),12:15:16 AM ET  ,4864143,,,,,,,,
RCL,RCL Foods Limited (JSE:RCL),11:00:36 AM ET  ,4911452,,,,,,,,
RCL,Royal Caribbean Cruises Ltd. (NYSE:RCL),4:00:02 PM ET  ,4980858,,,,,,,,
RCL,Regional Container Lines Public Company Limited (SET:RCL),5:35:32 AM ET  ,4995500,,,,,,,,
RCL,ReadCloud Limited (ASX:RCL),8:34:56 PM ET  ,9385215,,,,,,,,
RRC,Range Resources Corporation (NYSE:RRC),4:00:02 PM ET  ,4135999,,,,,,,,
RRC,Rompetrol Rafinare S.A. (BVB:RRC),10:12:08 AM ET  ,4976675,,,,,,,,
RTX,RTX Corporation (NYSE:RTX),4:00:02 PM ET  ,4001600,,,,,,,,
RTX,RTX A/S (CPSE:RTX),8:19:25 AM ET  ,4968196,,,,,,,,
SAIC,Science Applications International Corporation (NASDAQGS:SAIC),4:00:00 PM ET  ,4070675,,,,,,,,
SIX,Sixty Six Capital Inc. (CNSX:SIX),12:26:54 PM ET  ,10303371,,,,,,,,
SIX,Sprintex Limited (ASX:SIX),1:33:07 AM ET  ,4915603,,,,,,,,
SWX,"Southwest Gas Holdings, Inc. (NYSE:SWX)",4:00:02 PM ET  ,4884928,,,,,,,,
SYY,Sysco Corporation (NYSE:SYY),4:00:02 PM ET  ,4064204,,,,,,,,
TNET,"TriNet Group, Inc. (NYSE:TNET)",4:00:03 PM ET  ,4228223,,,,,,,,
TTC,Titan Technology Corp. (CNSX:TTC),10:13:20 AM ET  ,138815179,,,,,,,,
TTC,The Toro Company (NYSE:TTC),4:00:02 PM ET  ,4107956,,,,,,,,
TTC,Thanh Thanh Joint Stock Company (HNX:TTC),3:26:15 AM ET  ,4987606,,,,,,,,
VLO,Valero Energy Corporation (NYSE:VLO),4:00:02 PM ET  ,4011157,,,,,,,,
VSAT,"Viasat, Inc. (NASDAQGS:VSAT)",4:00:00 PM ET  ,4242781,,,,,,,,
VZ,Verizon Communications Inc. (NYSE:VZ),4:00:02 PM ET  ,4057229,,,,,,,,
WMB,"The Williams Companies, Inc. (NYSE:WMB)",4:00:02 PM ET  ,4011165,,,,,,,,
-,Capital Automotive REIT,,4001764,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
"Source for South African Repo Rate: South African Reserve Bank

S&P Credit Ratings and Research provided by S&P Global Ratings
'Last Review Date' indicates the date on which an Issue/Issuer Credit Rating was last formally reviewed within a twelve-month period or when a Credit Rating Action was last published. For certain dependent instruments, the 'Last Review Date' will only be updated in the event of a Credit Rating change of the linked organization.

Latest S&P Ratings available unless you are a subscriber of S&P Ratings history.

Moody's Proprietary Rights NOTICE: © 2026, Moody's Analytics, Inc., its licensors and affiliates (""Moody's"").  All rights reserved. Moody's ratings and other information (""Moody's Information"") are proprietary to Moody's AND/OR its licensors AND are protected BY copyright AND other intellectual property laws.  Moody's Information is licensed to Distributor by Moody's.  MOODY'S INFORMATION MAY NOT BE COPIED OR OTHERWISE REPRODUCED, REPACKAGED, FURTHER TRANSMITTED, TRANSFERRED, DISSEMINATED, REDISTRIBUTED OR RESOLD, OR STORED FOR SUBSEQUENT USE FOR ANY SUCH PURPOSE, IN WHOLE OR IN PART, IN ANY FORM OR MANNER OR BY ANY MEANS WHATSOEVER, BY ANY PERSON WITHOUT MOODY'S PRIOR WRITTEN CONSENT. Moody's® is a registered trademark.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
