SPGTable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,271473,"772,000",34,"4,677,000","3,114,000","476,721",77,NA,"1,207,504","853,000","-11,516","742,000","2,220,000","4,784",150,"32,095","673,400","4,078",236,411,"109,148","10,793",NA,"93,200","990,000","654,069",NA,"336,818","61,643","1,949","1,634,000","1,983,000","1,614","6,958","743,401","133,272","3,165,000","809,800","42,360","1,911,411","287,815","8,581","3,404,000","46,125",NA,"2,095,000",697,"9,849","126,511","1,797","4,089,000","184,313","792,000","1,678,000","1,283,000","1,104","585,000","1,329,615",NA,"245,717","601,400",NA,NA,"389,478",NA,"5,685,000","3,385,000",NA,"607,000","1,654,000","1,814,000","9,351,000",NA,"1,654,000","160,689","-325,000","8,130,000","856,000",NA,"1,976,000","71,077","46,550","3,050,100",-1,"3,032,000","17,474","4,003,000",NA,183,82,"3,313,000",NA,"860,000","5,944",84,"221,084","1,873,000","1,418,000","2,034","4,044","3,205","35,615","745,000","39,508","20,365","625,000",86,"1,079,000",NA,"7,625,000","10,021","5,509,000","648,000","295,345","364,300",230,"47,464","-90,011","260,885","1,798","708,595","-74,602","3,156,000","9,653","217,000",NA,14,"315,956","2,971,708","325,000",NA,"300,476",447,"2,214,000","175,938","19,204,000","1,491,000",NA
Earnings from Cont. Ops.,271505,"253,000",(229),"1,476,000","1,946,000","56,600",(11),NA,"365,996.00","-1,242,000.00","-31,035.08","91,000.00","568,000.00","-1,971.32",-483.51,"14,448.79","235,700.00","1,370.24",111.32,-548.43,"4,340.00","1,785.24",NA,"42,100.00","531,000.00","-922,941.00",NA,"95,226.00","18,863.37","-1,974.06","859,000.00","692,000.00",240.59,"2,101.35","226,153.00","12,023.14","835,000.00","222,800.00",-291.39,"-1,514,583.00","131,283.95","4,416.57","1,487,000.00","11,951.63",NA,"481,000.00",87.40,"7,169.28","95,327.00","-1,491.78","-3,119,000.00","-21,348.00","165,100.00","402,000.00","603,000.00",-202.77,"264,000.00","-219,311.52",NA,"26,390.73","62,900.00","-1,887.38",NA,"47,125.97",NA,"1,465,000.00","1,086,000.00",-588.07,"-229,000.00","585,000.00","684,000.00","143,000.00",NA,"14,000.00","78,686.00","-781,000.00","2,321,000.00","-278,000.00",-32.20,"103,000.00","8,049.54","6,705.41","1,104,400.00",-2.40,"536,000.00","7,761.30","1,303,000.00",NA,110.23,37.55,"1,959,000.00",NA,"268,000.00",375.12,-259.94,"-34,959.00","955,000.00","703,000.00",669.92,"1,642.35","1,911.66","2,693.00","228,000.00","2,262.45","9,966.40","307,000.00",-35.39,"391,000.00",NA,"2,457,000.00","67,805.36","4,876,000.00","225,000.00","112,673.00","74,100.00",77.40,"20,927.26","-1,167,142.00","248,829.66",433.32,"-456,808.00","-132,802.67","1,126,000.00",-497.74,"82,000.00","-8,053.21",-833.76,"97,250.00","378,013.00","146,000.00",NA,"69,510.00",175.11,"967,000.00","-6,252.00","4,711,000.00","392,000.00",NA
Net Income,271510,"252,000",(229),"1,476,000","1,883,000","50,852",(11),NA,"364,749.00","-1,219,000.00","-30,867.70","277,000.00","677,000.00","-1,353.41",-483.51,"13,700.06","235,400.00","1,370.24",111.32,-548.43,"4,340.00","1,344.27",NA,"42,100.00","531,000.00","-922,941.00",NA,"93,022.00","18,386.49","-1,974.06","859,000.00","711,000.00",240.56,"2,101.35","226,153.00","9,951.77","857,000.00","221,800.00",-291.39,"-1,516,048.00","131,283.95","4,668.94","1,268,000.00","11,836.90",NA,"597,000.00",47.18,"6,849.42","95,327.00","-1,491.78","-3,110,000.00","-21,514.00","165,100.00","389,000.00","581,000.00",-202.77,"263,000.00","-90,440.05",NA,"26,394.79","61,200.00","-1,887.38",NA,"47,125.97",NA,"1,273,000.00","1,086,000.00",-588.07,"-229,000.00","585,000.00","667,000.00","140,000.00",NA,"14,000.00","78,686.00","-865,000.00","2,321,000.00","-278,000.00",-32.20,"103,000.00","8,195.26","6,192.03","1,104,400.00",-2.40,"486,000.00","5,211.98","1,299,000.00",NA,110.23,37.55,"1,959,000.00",NA,"267,000.00",375.12,-259.94,"-34,978.00","955,000.00","703,000.00",669.92,"1,620.43","1,911.66","2,055.66","228,000.00","2,259.58","9,966.40","304,000.00",-35.39,"391,000.00",NA,"2,457,000.00","67,805.36","4,876,000.00","187,000.00","112,673.00","69,900.00",77.40,"22,398.13","-1,167,142.00","248,838.68",433.32,"-456,808.00","-132,846.38","1,084,000.00",-497.74,"81,000.00","-8,053.21",-833.76,"96,178.00","378,013.00","146,000.00",NA,"69,510.00",175.11,"905,000.00","16,968.00","4,580,000.00","380,000.00",NA
EBITDA,271528,"723,000",(244),"3,331,000","2,821,000","314,185",(7),NA,"562,690.0","78,000.0","-6,019.4","386,000.0","1,282,000.0","3,186.1",NA,"24,724.3","485,300.0","2,420.7",NA,-415.4,"36,394.0","6,843.9",NA,"82,400.0","800,000.0","-1,117,744.0",NA,"231,190.0","30,558.9","-2,505.1","1,634,000.0","1,952,000.0",712.1,NA,"386,511.0","58,406.8","3,006,000.0","471,700.0","19,602.8","-1,426,997.0","232,271.6","8,511.0","3,174,000.0","17,839.6",NA,"1,786,000.0",216.4,"9,241.1","148,987.0","-2,657.0","3,355,000.0","-5,260.0","330,100.0","670,000.0","967,000.0",NA,"743,000.0","370,400.3",NA,"47,843.0","172,200.0","-1,904.4",NA,"76,063.0",NA,"2,933,000.0","1,679,000.0",-247.7,"155,000.0","856,000.0","1,552,000.0","1,771,000.0",NA,"484,000.0","98,350.0","-370,000.0","3,688,000.0","173,000.0",NA,"467,000.0","25,120.6","16,379.7","2,852,800.0",5.8,"1,018,000.0","12,064.7","2,167,000.0",NA,121.8,NA,"2,934,000.0",NA,"412,000.0","1,120.5",NA,"89,294.0","1,576,000.0","1,418,000.0",733.3,"2,622.9",NA,"14,660.0","304,000.0","3,067.3","15,754.6","542,000.0",NA,"816,000.0",NA,"4,100,000.0","5,370.3","4,654,000.0","566,000.0","191,956.0","156,800.0",NA,"47,464.2","-519,741.0","255,966.5",485.5,"-366,240.0","-90,510.5","2,574,000.0",-204.9,"178,000.0",47.4,-818.4,"290,952.0","870,000.0","235,000.0",NA,"117,585.0",NA,"2,006,000.0","93,087.0","12,331,000.0","1,152,000.0",NA
EBIT,271530,"377,000",(245),"2,490,000","2,497,000","177,814",(9),NA,"514,385.0","-408,000.0","-25,015.8","337,000.0","736,000.0","1,127.5",-393.0,"15,829.4","388,800.0","1,770.4",115.9,-535.3,"11,841.0","4,889.4",NA,"57,300.0","482,000.0","-1,236,367.0",NA,"155,891.0","24,483.9","-2,684.1","1,274,000.0","1,179,000.0",428.9,NA,"307,508.0","40,732.8","1,526,000.0","332,400.0","5,400.6","-1,859,484.0","195,803.8","7,606.2","2,146,000.0","15,366.7",NA,"941,000.0",142.4,"9,231.9","117,043.0","-4,171.6","1,808,000.0","-11,445.0","212,300.0","511,000.0","594,000.0",NA,"511,000.0","210,278.7",NA,"7,911.3","120,000.0","-1,933.0",NA,"69,173.2",NA,"2,201,000.0","1,482,000.0",-479.5,"-98,000.0","674,000.0","1,014,000.0","910,000.0",NA,"273,000.0","98,002.0","-641,000.0","3,245,000.0","-151,000.0",-32.2,"243,000.0","10,302.4","9,269.6","2,373,100.0",-2.4,"800,000.0","10,886.9","1,708,000.0",NA,113.6,37.8,"2,882,000.0",NA,"301,000.0",567.9,-159.8,"-21,489.0","1,273,000.0","1,116,000.0",646.0,"1,682.5","2,593.8","5,573.4","228,000.0","3,024.4","15,668.3","416,000.0",-31.1,"662,000.0",NA,"3,470,000.0","5,195.3","3,011,000.0","336,000.0","161,755.0","100,200.0",98.2,"31,204.5","-859,208.0","246,549.8",298.2,"-453,840.0","-123,994.3","1,560,000.0",-730.6,"140,000.0",-36.1,-831.3,"168,306.0","683,534.0","214,000.0",NA,"92,642.0",215.7,"1,400,000.0","-7,165.0","8,095,000.0","654,000.0",NA
EBITDA / Interest Expense (x),274484,6.95,NM,11.29,31.75,3.75,NM,NA,13.83,0.12,NM,4.07,13.08,0.92,NA,47.86,5.28,57.50,NA,NM,3.90,3.30,NA,4.09,5.40,NM,NA,25.85,46.55,NM,9.69,11.22,5.66,NA,14.56,10.12,5.41,11.88,6.30,NM,37.64,24.73,7.19,72.93,NA,5.28,8.78,3.31,24.65,NM,11.28,5.52,17.56,111.67,14.32,NA,NA,5.71,NA,24.03,4.68,NM,NA,47.18,NA,7.80,28.90,NA,12.49,4.77,4.66,12.32,NA,8.37,NA,NM,18.29,6.75,NA,7.26,38.74,12.80,11.96,NA,23.77,25.92,20.16,NA,163.09,163.00,NA,NA,7.83,44.80,NA,12.32,12.65,8.44,NA,26.00,NA,5.85,5.95,20.53,172.42,20.08,NA,4.77,NA,5.82,0.12,20.35,5.56,13.71,13.99,NA,8.88,NM,175.83,NM,NM,NM,8.40,NM,7.78,0.50,NM,6.02,7.08,47.65,NA,17.85,NA,13.83,17.92,17.40,4.03,NA
EBIT / Interest Expense (x),274483,3.63,NM,8.44,28.06,2.12,NM,NA,12.64,NM,NM,2.96,7.51,0.33,NA,30.64,4.11,42.05,NA,NM,1.27,2.36,NA,2.69,3.07,NM,NA,16.52,37.30,NM,7.12,6.78,3.41,NA,11.58,7.06,2.68,8.37,1.52,NM,31.73,22.10,4.82,59.39,NA,2.78,5.78,3.31,19.11,NM,5.87,NM,11.29,85.17,8.37,NA,NA,2.93,NA,3.97,2.89,NM,NA,35.86,NA,5.40,24.30,NA,NM,3.59,3.05,5.52,NA,4.08,NA,NM,15.16,NM,NA,3.08,15.89,7.25,8.26,NA,16.33,23.05,15.12,NA,152.07,156.00,NA,NA,5.19,20.33,NA,NM,9.57,6.64,NA,16.68,8.95,2.22,3.86,18.64,167.93,14.86,NA,3.85,NA,4.92,0.12,12.76,3.14,10.87,8.49,NA,5.84,NM,159.48,188.22,NM,NM,4.85,NM,5.19,NM,NM,3.48,5.33,42.80,NA,13.21,NA,9.66,NM,10.30,2.29,NA
Avg. Days Sales Out.,274485,39.5,NA,78.3,51.0,37.8,123.5,NA,110.24,72.88,24.48,11.42,44.14,219.96,NA,105.06,27.92,61.12,52.26,502.24,56.37,77.03,NA,9.62,41.99,33.77,NA,66.75,58.79,56.99,31.97,46.09,58.82,NA,61.53,157.78,46.60,52.30,99.88,48.34,190.25,81.78,39.33,74.68,NA,32.48,56.35,21.71,31.99,17.58,20.87,55.23,61.46,NA,47.86,NA,80.80,49.86,NA,NA,106.87,NA,NA,34.79,NA,50.06,28.88,NA,47.26,34.53,34.57,5.04,NA,NA,8.77,NM,NA,4.61,NA,4.65,2.12,33.19,28.68,NA,26.90,24.60,48.29,NA,NA,NA,NA,NA,112.84,65.44,36.34,103.01,75.66,24.25,588.29,59.16,20.24,32.42,55.04,49.45,37.25,44.77,398.18,25.82,NA,46.77,74.59,51.97,38.06,16.36,12.10,311.64,55.42,37.03,30.26,28.81,35.56,19.94,119.30,104.03,48.09,NA,30.17,56.81,22.37,24.61,NA,29.54,40.18,25.68,48.08,65.61,63.74,NA
Avg. Days Inventory Out.,274486,48.7,NA,244.9,58.1,90.2,262.5,NA,51.73,543.38,19.11,123.06,106.40,NM,NA,29.49,84.21,NA,20.60,NA,NA,14.08,NA,NA,28.43,3.58,NA,33.14,104.86,478.79,17.45,61.60,118.33,NA,86.44,0.40,73.50,NA,61.51,NA,NA,NA,10.52,350.00,NA,15.22,92.10,NA,58.99,51.08,41.40,174.05,82.98,NA,95.73,NA,60.09,101.60,NA,NA,96.91,NA,NA,NA,NA,19.39,57.14,NA,NA,65.89,20.93,24.24,NA,107.12,516.31,7.43,96.56,13.60,NA,126.06,29.64,31.52,1.81,NA,29.95,111.22,95.81,NA,NA,NA,71.95,NA,77.56,111.50,127.65,5.04,10.72,14.49,136.22,181.95,NA,46.75,120.07,NA,NA,58.18,NA,13.54,NA,NA,9.23,51.53,4.52,53.94,106.80,NM,36.87,12.91,9.22,NA,NA,33.27,67.81,54.25,NA,NA,NA,6.03,26.15,NA,NA,110.53,139.86,17.33,79.09,21.05,21.27,NA
Accounts Receivable Turnover (x),274489,9.13,NA,4.60,7.06,9.74,2.91,NA,3,5,15,32,8,2,NA,3,13,6,7,1,6,5,NA,37,9,11,NA,5,6,6,11,8,6,NA,6,2,8,7,4,7,2,5,9,5,NA,11,6,17,11,21,17,7,6,NA,8,NA,4,7,NA,NA,3,NA,NA,11,NA,7,13,NA,8,10,10,89,NA,NA,41,0,NA,78,NA,78,170,11,13,NA,14,15,7,NA,NA,NA,NA,NA,3,6,10,3,5,15,1,6,18,11,7,7,10,8,1,14,NA,8,5,7,9,21,30,1,6,10,12,13,10,18,3,4,8,NA,12,6,16,15,NA,12,9,14,8,5,6,NA
Inventory Turnover (x),274490,7.40,NA,1.47,6.20,4.08,1.37,NA,7,1,19,3,3,0,NA,12,4,NA,17,NA,NA,26,NA,NA,13,100,NA,11,3,1,21,6,3,NA,4,NM,5,NA,6,NA,NA,NA,34,1,NA,24,4,NA,6,7,9,2,4,NA,4,NA,6,4,NA,NA,4,NA,NA,NA,NA,19,6,NA,NA,5,17,18,NA,3,1,48,4,26,NA,3,12,11,199,NA,12,3,4,NA,NA,NA,5,NA,5,3,3,71,34,25,3,2,NA,8,3,NA,NA,6,NA,27,NA,NA,39,7,80,6,3,0,10,28,39,NA,NA,11,5,7,NA,NA,NA,60,14,NA,NA,3,3,21,5,17,17,NA
Fixed Asset Turnover (x),274488,0.25,0.01,4.58,1.90,0.29,65.78,NA,45,5,0,2,3,0,12,12,4,29,1,10,13,5,NA,1,0,0,NA,2,6,4,0,0,1,NA,8,16,0,4,2,1,10,10,1,6,NA,0,5,0,1,0,4,6,11,NA,1,NA,3,1,NA,NA,11,NA,NA,29,NA,2,18,NA,4,4,0,6,NA,2,94,1,4,1,NA,2,2,2,1,NA,54,1,3,NA,20,NA,12,NA,5,3,4,5,4,0,3,2,NA,3,5,33,10,2,NA,1,NA,5,2,1,4,11,7,1,5,0,3,32,1,3,4,6,22,NA,1,1,13,50,NA,7,11,5,1,1,0,NA
Total Asset Turnover (x),274487,0.20,0.01,0.42,1.21,0.19,1.22,NA,2,0,0,1,0,0,0,1,0,2,0,0,1,1,NA,0,0,0,NA,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,NA,0,1,0,1,0,1,1,0,NA,0,NA,1,0,NA,NA,0,NA,NA,3,NA,1,2,NA,1,0,0,3,NA,1,1,1,2,1,NA,1,1,1,0,NA,4,0,1,NA,0,7,0,NA,1,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,NA,0,0,0,2,2,1,0,2,0,1,1,1,1,0,1,1,NA,0,0,3,1,NA,1,1,3,0,0,0,NA
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash Flow ($000),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash from Ops.,272591,"388,000",(441),"2,164,000","891,000","221,454",42,NA,"-200,248","-3,216,000","-3,812","249,000","674,000","20,353",-463,"98,285","139,800","2,661",-69,-488,"30,358","11,711",NA,"135,200","580,000","336,395",NA,"102,630","-2,116","-2,669","1,299,000","1,125,000",452,"6,667","23,683","3,458","1,795,000","-198,500","-17,935","1,021,219","154,287","5,836","2,370,000","30,919",NA,"1,782,000",27,"6,172","111,121",-1,"-1,084,000","-115,045","214,800","468,000","534,000",-395,"-50,000","213,252",NA,NA,"134,700","-1,389",NA,"29,626",NA,"1,345,000","1,657,000",62,"189,000","663,000","1,084,000","2,256,000",NA,"278,000","-137,787","2,655,000","4,492,000","1,071,000",-22,"494,000","24,023","8,915","2,133,300",0,"-1,622,000","8,255","1,011,000",NA,277,36,"3,075,000",NA,"152,000","-3,576",-58,"131,518","-488,000","994,000",-520,"-2,013","1,208","17,567","-272,000","-10,514","11,483","158,000",190,"463,000",NA,"5,391,000",NA,"3,239,000","340,000","-23,039","-49,100",283,"42,574","-528,847","228,016",531,"406,414","-158,423","476,000","2,204","189,000",-11,-794,"186,620","110,812","214,000",NA,"-90,043",-339,"588,000","65,129","6,821,000","1,082,000",NA
Cash from Investing,272601,"(780,000)",(538),"(111,000)","466,000","(148,248)",NA,NA,899,"2,965,000","2,739","-56,000","-686,000","-4,379","-2,622","-10,754","-154,900",-151,-438,-2,"-68,778","2,606",NA,"-62,800","1,934,000","-102,893",NA,"-98,005","-5,214",-102,"-368,000","-1,574,000",-45,-313,"-46,963","-5,682","-2,699,000","-268,200","-13,334","-291,172","-99,866","-2,246","-1,271,000",-905,NA,"-1,819,000",-195,"-2,357","-11,935","-13,096","3,315,000","-2,275","-17,900","-100,000","-278,000",-446,"-155,000","-425,607",NA,NA,"-23,900","9,822",NA,"-6,683",NA,"-845,000","-280,000",-7,"-225,000","3,000","-371,000","-853,000",NA,"-57,000","-1,373","-178,000","-477,000","-139,000",28,"-74,000","-3,609","-17,903","-554,500",NA,"-99,000","-17,186","-263,000",NA,NA,NA,"-34,000",NA,"-557,000","2,167",NA,"-101,361","-249,000","-335,000",-43,78,NA,"-2,546","559,000",-9,"-1,139","-88,000",NA,"-244,000",NA,"-781,000",NA,"-662,000","-81,000","-143,119","-39,200",1,"-15,972","-1,443,141","-80,094",-144,"-105,012","-29,519","-518,000",-751,"-4,000",NA,-252,"-154,210","-788,605","-213,000",NA,"-413,371",4,"-841,000","-399,575","-7,995,000","-360,000",NA
Cash from Financing,272618,"391,000",998,"(3,514,000)","(1,425,000)","(120,228)",(8),NA,"227,578","-396,000","-6,782","-1,291,000","-327,000","-8,909","3,445","-6,509","5,500",-915,NA,-115,"29,804","-7,350",NA,"-68,000","-2,621,000","-228,497",NA,"-13,283","-17,703",-74,"-1,234,000","635,000",418,NA,"-75,204","-3,358","1,404,000","444,300","1,094","-827,097","726,550",-615,"-324,000","-12,293",NA,"1,416,000",103,"-3,434","-56,164","18,308","-1,661,000","32,067","-332,600","-420,000","-375,000","6,806","-668,000","-59,975",NA,NA,"-77,500",-51,NA,"-142,342",NA,"425,000","-2,282,000",565,"-43,000","-644,000","-1,512,000","-781,000",NA,"-883,000","141,971","-1,388,000","-2,020,000","-314,000",2,"-300,000","-10,259","11,229","-3,830,100",NA,"-2,151,000","-4,023","-2,054,000",NA,-33,NA,"-2,232,000",NA,"-577,000",-866,-16,"-158,016","-619,000","73,000",587,448,"-1,153","-30,514","-393,000","-2,246","-8,765","-285,000",NA,"-350,000",NA,"-11,468,000",NA,"-3,429,000","-597,000","107,155","-48,500",NA,"-18,065","1,237,731","-24,325",-33,"-402,893","152,710","-1,745,000",-208,"-95,000",NA,550,"369,474","-237,731","-353,000",NA,"293,300",-391,"-1,228,000","315,222","245,000","-1,798,000",NA
Foreign Exchange Rate Adj.,272619,NA,1.27,NA,NA,98,NA,NA,"-7,632.00","-3,000.00",NA,"2,000.00","-6,000.00",4.81,NA,-6.80,"-2,600.00",NA,NA,245.93,NA,0.45,NA,NA,NA,NA,NA,"5,740.00",NA,1.48,NA,NA,NA,NA,"2,964.00",NA,NA,"-1,400.00","-1,051.84",NA,"-20,758.57",-3.31,NA,869.85,NA,NA,NA,NA,NA,NA,"-24,000.00","-3,502.00",700.00,"-3,000.00","-13,000.00",NA,"-17,000.00","8,583.95",NA,NA,"5,400.00",0.84,NA,-275.59,NA,"-5,000.00",NA,NA,"-7,000.00","4,000.00",NA,NA,NA,NA,NA,NA,"7,000.00",NA,NA,NA,NA,NA,"-122,200.00",NA,"11,000.00","1,049.98","-11,000.00",NA,NA,NA,NA,NA,"-14,000.00",-46.10,NA,256.00,NA,NA,NA,0.06,NA,NA,"8,000.00",742.76,NA,"4,000.00",NA,NA,NA,"-181,000.00",NA,NA,"3,000.00",NA,-300.00,NA,28.86,991.00,381.95,NA,NA,NA,"15,000.00",-55.49,NA,NA,NA,85.00,"-9,355.00",NA,NA,"-2,539.00",-0.02,"-3,000.00","-1,037.00",NA,NA,NA
Net Change in Cash,272621,"(1,000)",21,"(1,461,000)","(68,000)","(46,924)",34,NA,"20,597.00","-650,000.00","-7,854.95","-1,096,000.00","-345,000.00","7,069.15",360.02,"81,015.17","-12,200.00","1,595.42",-507.48,-358.34,"-8,616.00","6,967.30",NA,"4,400.00","-107,000.00","5,005.00",NA,"-2,918.00","-25,033.72","-2,843.97","-303,000.00","186,000.00",824.27,"6,353.97","-95,520.00","-5,582.37","500,000.00","-23,800.00","-31,226.75","-97,050.00","760,212.62","2,971.81","775,000.00","18,591.42",NA,"1,379,000.00",-64.31,380.71,"43,022.00","5,211.14","546,000.00","-88,755.00","-135,000.00","-55,000.00","-132,000.00","5,965.27","-890,000.00","-263,577.78",NA,NA,"38,700.00","8,382.94",NA,"-119,675.15",NA,"920,000.00","-905,000.00",619.83,"-86,000.00","26,000.00","-799,000.00","622,000.00",NA,"-662,000.00","2,811.00","1,089,000.00","2,002,000.00","618,000.00",7.49,"120,000.00","10,155.21","2,241.22","-2,373,500.00",NA,"-3,861,000.00","-11,904.01","-1,317,000.00",NA,244.03,35.61,"809,000.00",NA,"-996,000.00","-2,321.29",-74.13,"-127,603.00","-1,356,000.00","732,000.00",24.06,"-1,486.65",54.73,"-15,490.38","-98,000.00","-12,025.62","1,579.21","-211,000.00",189.77,"-131,000.00",NA,"-7,039,000.00",NA,"-852,000.00","-335,000.00","-59,003.00","-137,100.00",283.70,"8,565.21","-733,266.00","123,978.65",354.41,"-101,491.00","-35,231.71","-1,772,000.00","1,189.48","90,000.00",-10.78,-496.52,"401,969.00","-924,879.00","-352,000.00",NA,"-212,653.00",-725.95,"-1,484,000.00","-20,261.00","-929,000.00","-1,076,000.00",NA
Capital Expenditure,272592,"(790,000)",(538),"(190,000)","(378,000)","(112,196)",NA,NA,"-19,270.00","-349,000.00",-502.30,"-65,000.00","-183,000.00","-5,420.28",-50.38,"-4,044.28","-154,900.00",-150.51,NA,-1.95,-492.00,-957.36,NA,"-55,500.00","-846,000.00","-122,316.00",NA,"-80,464.00","-4,749.79",-91.24,"-331,000.00","-1,659,000.00",-43.89,-44.93,"-50,381.00",-348.97,"-2,551,000.00","-156,500.00","-2,715.68","-292,281.00","-1,683.13",-383.51,"-752,000.00",-908.09,NA,"-1,922,000.00",-192.73,NA,"-11,935.00","-1,438.89","-1,370,000.00","-2,526.00","-18,800.00","-100,000.00","-383,000.00",-1.93,"-189,000.00","-135,547.87",NA,NA,"-29,200.00","-2,533.77",NA,"-3,513.78",NA,"-861,000.00","-273,000.00",-7.45,"-180,000.00","-109,000.00","-407,000.00","-820,000.00",NA,"-59,000.00",-993.00,"-178,000.00","-461,000.00","-514,000.00",NA,"-61,000.00","-5,212.70","-1,237.71","-401,200.00",NA,"-93,000.00","-1,206.31","-424,000.00",NA,NA,NA,"-45,000.00",NA,"-54,000.00","-1,130.26",NA,"-83,191.00","-244,000.00","-389,000.00",-42.90,-111.40,NA,"-2,475.32","-70,000.00",-8.65,-319.59,"-107,000.00",NA,"-257,000.00",NA,"-1,062,000.00",NA,"-858,000.00","-101,000.00","-18,668.00","-55,800.00",NA,"-16,755.71","-1,363,086.00","-80,986.00",-4.91,"-102,740.00","-29,621.84","-439,000.00",-349.71,"-10,000.00",NA,-252.38,"-162,796.00","-85,019.00","-11,000.00",NA,"-11,903.00",NA,"-384,000.00","-246,164.00","-5,821,000.00","-297,000.00",NA
Change in Net Working Capital,272627,"309,000",552,"538,000","205,000","(102,474)",(37),NA,"549,811.00","2,628,000.00","-2,491.36","271,000.00","182,000.00","-42,096.14",-30.10,"-101,022.97","213,200.00",-677.68,"239,377.09",-307.23,"-2,945.00","331,907.15",NA,"-16,300.00","-1,433,000.00","-899,843.00",NA,"100,955.00","29,414.34","2,628.64","-102,000.00","855,000.00",162.54,NA,"231,931.00",-506.06,"1,278,000.00","632,300.00","18,913.41","-2,177,959.00","3,590.67",-982.28,"1,469,000.00","-16,737.81",NA,"461,000.00",799.54,"34,088.79","6,717.00","-9,956.48","5,123,000.00","100,575.00","24,600.00",NA,"143,000.00",NA,"497,000.00","443,560.22",NA,NA,"-35,500.00",330.81,NA,"76,476.35",NA,"457,000.00","-345,000.00",-189.29,"-105,000.00","160,000.00","285,000.00","-208,000.00",NA,"101,000.00","220,771.00","-829,000.00","-1,408,000.00","-392,000.00",-37.73,"418,000.00",105.41,"-1,662.81","-368,300.00",NA,"2,104,000.00","-13,772.52","899,000.00",NA,18.04,1.72,"-1,067,000.00",NA,"18,000.00","2,509.20",-212.19,"-45,921.00","883,000.00","8,000.00","1,220.59","5,690.01",-797.14,"-4,967.47","293,000.00","26,436.28",-850.03,"237,000.00",58.84,"93,812.00",NA,"-1,615,000.00","-15,932.49","569,000.00","-42,000.00","198,335.00","217,600.00",-155.42,"-15,738.67","-85,166.00","48,776.72",585.13,"-731,798.00","2,232.69","469,000.00","-1,045.91","-94,000.00",-32.26,28.31,"49,393.00","485,220.00","-33,000.00",NA,"213,245.00","647,047.09","414,000.00","127,853.00","6,654,000.00","-78,000.00",NA
Unlevered Free Cash Flow,272626,"(513,375)","(1,220)","1,669,250","1,301,625","233,945",32,NA,"-181,934.38","-2,214,000.00","5,306.48","-61,375.00","722,000.00","39,439.11",-262.36,"115,766.94","-26,000.00","2,283.99",-166.93,90.63,"36,111.63","3,721.11",NA,"30,012.50","1,206,250.00","130,751.63",NA,"5,930.88","-13,260.24","-4,167.41","963,250.00","-1,004,125.00",341.60,NA,-3.50,"39,140.71","-1,395,250.00","-419,450.00","1,988.69","1,163,457.50","153,571.36","6,478.57","184,250.00","29,750.61",NA,"-770,875.00",-829.28,"-28,318.88","88,899.88","7,570.77","-3,749,000.00","-101,577.13","226,987.50",NA,"260,250.00",NA,"-134,625.00","-261,529.97",NA,NA,"290,100.00","-3,224.03",NA,"-14,434.05",NA,"875,625.00","1,328,250.00",113.92,"705,750.00","309,250.00","479,750.00","1,064,750.00",NA,"233,625.00","-156,594.75","564,375.00","3,472,125.00","107,625.00",17.60,"-130,125.00","16,223.38","12,498.03","1,984,287.50",NA,"-1,545,000.00","20,728.40","338,500.00",NA,61.19,23.60,"2,875,250.00",NA,"264,125.00","-2,638.34",112.29,"66,418.38","-10,375.00","625,500.00",-772.48,"-3,809.46","2,418.27","14,991.48","-130,500.00","-24,248.05","10,957.54","54,000.00",-50.37,"216,938.00",NA,"4,023,750.00",NA,"2,097,875.00","388,000.00","-80,594.13","-140,875.00",216.80,"34,651.59","-1,452,619.00","49,621.82",-349.05,"519,244.00","-74,016.17","1,102,000.00","1,385.53","219,500.00",9.67,-800.23,"19,828.25","100,969.75","191,750.00",NA,"-137,078.75",-512.25,"683,000.00","-255,845.13","-5,017,625.00","708,750.00",NA
