issuer_name,cusip,instrument_id,mi_key,actual_spread,predicted_spread,cheapness_bps,downgrade_prob_4q,sp_rating,rating_numeric,modified_duration,quadrant,rv_long_score,rv_short_score
Ford Motor Company,345370BW9,SPS14087329,113873,265.25653,224.06066702677188,41.19586297322812,0.26437653427850316,BBB-,10.0,9.78019,Trap (cheap+risky),30.304643493753954,-10.891219479474163
"Bath & Body Works, Inc.",532716AK3,SPS14140320,4069317,336.47139,309.65287327053846,26.81851672946152,0.08076111634758458,BB-,13.0,5.18669,Long (cheap+safe),24.65262337960384,-2.1658933498576856
"Bath & Body Works, Inc.",U53313AA7,SPS64386194,4069317,336.47139,309.65287327053846,26.81851672946152,0.08076111634758458,BB-,13.0,5.18669,Long (cheap+safe),24.65262337960384,-2.1658933498576856
"Bath & Body Works, Inc.",532716AJ6,SPS14132358,4069317,336.47139,309.65287327053846,26.81851672946152,0.08076111634758458,BB-,13.0,5.18669,Long (cheap+safe),24.65262337960384,-2.1658933498576856
"Viasat, Inc.",88948ADA2,,7409132,318.20213,269.2993737771013,48.90275622289869,,B+,14.0,21.00456,Long (cheap+safe),24.451378111449344,-24.451378111449344
Corning Incorporated,219350AH8,SPS14066738,4004201,69.13772,41.86251769456724,27.275202305432764,0.13284026697195173,BBB+,8.0,2.47017,Trap (cheap+risky),23.651957149465083,-3.6232451559676817
McKesson Corporation,581557AM7,SPS14094037,4069640,68.64104,51.84895956612677,16.79208043387323,0.04654523232457472,BBB+,8.0,0.72548,Long (cheap+safe),16.010489148865656,-0.781591285007575
"Arrow Electronics, Inc.",042735AK6,SPS14039790,4066994,138.01212,122.39057568917593,15.621544310824078,0.06163979960118628,BBB-,10.0,0.59883,Long (cheap+safe),14.65863545004383,-0.9629088607802478
"Viasat, Inc.",88948ADC8,,7409132,293.97521,269.2993737771013,24.67583622289868,,B+,14.0,22.91139,Long (cheap+safe),12.33791811144934,-12.33791811144934
"Viasat, Inc.",88948ADH7,,7409132,293.72699,269.2993737771013,24.427616222898678,,B+,14.0,27.56719,Long (cheap+safe),12.213808111449339,-12.213808111449339
"Viasat, Inc.",88948ADG9,,7409132,292.9638,269.2993737771013,23.66442622289867,,B+,14.0,26.63724,Long (cheap+safe),11.832213111449335,-11.832213111449335
"Viasat, Inc.",88948ADE4,,7409132,291.41488,269.2993737771013,22.11550622289866,,B+,14.0,24.77783,Long (cheap+safe),11.05775311144933,-11.05775311144933
"Viasat, Inc.",88948ADD6,,7409132,291.00987,269.2993737771013,21.710496222898655,,B+,14.0,23.84836,Long (cheap+safe),10.855248111449328,-10.855248111449328
"Macy's, Inc.",577778BK8,SPS14081521,4004104,322.76911,309.65287327053846,13.116236729461548,0.172639027725002,BB+,11.0,3.15415,Trap (cheap+risky),10.851862373076345,-2.264374356385202
Amgen Inc.,031162AA8,SPS14041981,4092820,198.13807,188.6470689542495,9.491001045750494,0.08185127671755243,BBB+,8.0,15.03029,Long (cheap+safe),8.71415049282819,-0.7768505529223032
RTX Corporation,U7532YAM6,SPS669021934,4001600,114.20866,107.00692595832184,7.201734041678151,0.2389488824308461,BBB+,8.0,8.19198,Trap (cheap+risky),5.4808877408549765,-1.7208463008231747
"LGI Homes, Inc.",50187TAJ5,SPS1862056393,4398514,319.42807,308.4686169848016,10.959453015198392,0.512291872542568,B,15.0,2.17671,Trap (cheap+risky),5.345014308000114,-5.6144387071982775
"ONEOK, Inc.",682680BF9,SPS666570504,4010846,171.84636,166.29535056397765,5.551009436022355,0.045622721038410134,BBB,9.0,11.80277,Long (cheap+safe),5.297757281041124,-0.25325215498123027
Verizon Communications Inc.,92346MAY7,SPS430326865,4057229,165.8951,165.33087300795526,0.5642269920447518,0.15600550682903952,BBB+,8.0,12.07381,Trap (cheap+risky),0.4762044741841858,-0.08802251786056595
Ford Motor Company,345370BM1,SPS14009295,113873,244.82113,258.3731744002861,-13.552044400286064,0.26437653427850316,BBB-,10.0,9.33538,Trap (cheap+risky),-9.969201869350039,3.5828425309360257
Ford Motor Company,345370BV1,SPS14086369,113873,168.14046,186.4758187173567,-18.335358717356712,0.26437653427850316,BBB-,10.0,4.37246,Trap (cheap+risky),-13.487920124908804,4.847438592447909
Dover Corporation,260003AC2,SPS14057027,4068060,55.05823,71.63445275357583,-16.576222753575827,0.1211576853026332,BBB+,8.0,1.81586,Trap (cheap+risky),-14.56788597369174,2.008336779884088
Equifax Inc.,294429AC9,SPS14057890,4040823,79.86336,96.51578949653896,-16.652429496538957,0.06534791455010663,BBB,9.0,1.88956,Long (cheap+safe),-15.564227956747455,1.088201539791503
Duke Energy Corporation,26441CCA1,SPS1854810425,4121470,140.83101,159.73571108454388,-18.904701084543888,0.07271593510946611,BBB,9.0,13.11665,Long (cheap+safe),-17.53002806721634,1.374673017327547
Verizon Communications Inc.,92343VGQ1,SPS1772244386,4057229,143.07032,165.86782470112968,-22.797504701129668,0.15600550682903952,BBB+,8.0,14.48894,Trap (cheap+risky),-19.240968425792524,3.556536275337145
GE HealthCare Technologies Inc.,36267VAL7,SPS1814830566,108009705,131.94902,154.01260892640497,-22.063588926404975,0.12103087942707948,BBB,9.0,13.06109,Trap (cheap+risky),-19.393213355324608,2.6703755710803665
Verizon Communications Inc.,92346MGE5,SPS430326183,4057229,142.34486,167.83284829190407,-25.48798829190406,0.15600550682903952,BBB+,8.0,13.74492,Trap (cheap+risky),-21.51172176037294,3.976266531531118
Ameren Corporation,171794AF7,SPS14080441,4007308,108.72353,132.68375168060354,-23.96022168060354,0.06312303217770653,BBB,9.0,2.8994,Long (cheap+safe),-22.44777983647382,1.5124418441297187
"CenterPoint Energy, Inc.",15189TAY3,SPS632958507,4074390,157.88336,183.71290624227237,-25.829546242272357,0.1212456148495987,BBB,9.0,13.47795,Trap (cheap+risky),-22.697827026841903,3.1317192154304534
"Kinder Morgan, Inc.",482620AS0,SPS14048016,4275772,108.68098,132.68375168060354,-24.00277168060353,0.046972647254613906,BBB+,8.0,1.34462,Long (cheap+safe),-22.875297953317503,1.1274737272860258
Verizon Communications Inc.,92343VGL2,SPS1680021299,4057229,112.21581,139.5953182669291,-27.379508266929093,0.15600550682903952,BBB+,8.0,11.40478,Trap (cheap+risky),-23.10815420301694,4.271354063912151
Six Flags Entertainment Corporation,150190AD8,SPS622854468,4121677,216.43848,269.2993737771013,-52.860893777101325,,B,15.0,2.78098,Hold (rich+safe),-26.430446888550662,26.430446888550662
Verizon Communications Inc.,92346MGQ8,SPS430326193,4057229,136.18753,167.83284829190407,-31.64531829190406,0.15600550682903952,BBB+,8.0,14.62185,Trap (cheap+risky),-26.70847437300929,4.936843918894768
Ford Motor Company,345370BR0,SPS14037654,113873,226.6184,263.10053176999503,-36.48213176999502,0.26437653427850316,BBB-,10.0,10.65527,Trap (cheap+risky),-26.837112209552064,9.645019560442957
"Lowe's Companies, Inc.",548661AK3,SPS14077635,4004318,33.80029,63.790434685380724,-29.990144685380727,0.10422994753556325,BBB+,8.0,2.52338,Long (cheap+safe),-26.864273478239543,3.1258712071411843
Sysco Corporation,871829AD9,SPS14042604,4064204,111.70689,146.43652372501623,-34.72963372501623,0.21924032319815773,BBB,9.0,0.84393,Trap (cheap+risky),-27.115497602590032,7.6141361224261965
Energy Transfer LP,29273RBC2,SPS248869672,4111501,59.79245,90.37591357779728,-30.583463577797275,0.0878945348687334,BBB,9.0,3.02742,Long (cheap+safe),-27.895344271951934,2.6881193058453405
Southwest Airlines Co.,844741AN8,SPS14040804,4121199,107.47016,139.59869856154643,-32.12853856154642,0.11749310704904051,BBB,9.0,0.72463,Trap (cheap+risky),-28.353656741005423,3.7748818205409997
"Becton, Dickinson and Company",075887AN9,SPS14045127,4133271,42.52852,76.18930249938045,-33.660782499380446,0.100587348572378,BBB,9.0,1.10302,Long (cheap+safe),-30.27493363689626,3.385848862484182
Verizon Communications Inc.,92346MBY6,SPS430326041,4057229,127.934,165.33087300795526,-37.396873007955264,0.15600550682903952,BBB+,8.0,12.633,Trap (cheap+risky),-31.562754880527972,5.834118127427288
"HCA Healthcare, Inc.",19767QAS4,SPS14034566,4283738,149.10278,194.82320742393296,-45.72042742393296,0.24742404479390925,BBB-,10.0,7.02319,Short (rich+risky),-34.408094340997096,11.312333082935865
Verizon Communications Inc.,92343VGP3,SPS1771742262,4057229,123.53139,165.86782470112968,-42.336434701129676,0.15600550682903952,BBB+,8.0,14.23831,Short (rich+risky),-35.7317177482454,6.604716952884272
CSX Corporation,126408BM4,SPS14050104,4004350,98.37054,146.43652372501623,-48.065983725016224,0.14691825366386832,BBB+,8.0,0.88598,Short (rich+risky),-41.00421333550092,7.0617703895153
"Lowe's Companies, Inc.",548661EE3,SPS1681217101,4004318,109.41284,155.91099493309804,-46.498154933098036,0.10422994753556325,BBB+,8.0,11.48107,Hold (rich+safe),-41.65165468392074,4.8465002491773
Norfolk Southern Corporation,655844CL0,SPS1677747918,4021829,112.5929,164.36041491048934,-51.76751491048934,0.18371216683503042,BBB+,8.0,15.17275,Short (rich+risky),-42.25719257461859,9.510322335870741
Norfolk Southern Corporation,655844BW7,SPS542231141,4021829,115.41456,168.5587379886654,-53.144177988665405,0.18371216683503042,BBB+,8.0,13.17483,Short (rich+risky),-43.38094589570115,9.76323209296425
Norfolk Southern Corporation,U65584AF8,SPS542273153,4021829,115.41456,168.5587379886654,-53.144177988665405,0.18371216683503042,BBB+,8.0,13.17483,Short (rich+risky),-43.38094589570115,9.76323209296425
"Viasat, Inc.",G26236AL6,,4150191,178.87884,266.8793216855845,-88.0004816855845,,BB-,13.0,0.94381,Hold (rich+safe),-44.00024084279225,44.00024084279225
The Toro Company,891092AD0,SPS14044153,4107956,37.9133,88.33287958167199,-50.41957958167199,0.10538554246577937,BBB,9.0,0.97362,Hold (rich+safe),-45.10608483656095,5.313494745111036
"CenterPoint Energy, Inc.",15189TAX5,SPS632958506,4074390,64.1935,115.53747759819892,-51.34397759819892,0.1212456148495987,BBB,9.0,3.47066,Short (rich+risky),-45.11874546548127,6.225232132717649
"Lowe's Companies, Inc.",548661AH0,SPS14052137,4004318,4.15611,56.53029706753595,-52.37418706753595,0.10422994753556325,BBB+,8.0,1.58804,Hold (rich+safe),-46.915228297268904,5.4589587702670475
"Viasat, Inc.",U15813AA3,,4549869,154.67505,250.38591147604546,-95.71086147604547,,B+,14.0,6.11703,Hold (rich+safe),-47.85543073802273,47.85543073802273
Amgen Inc.,031162DG2,SPS1771976040,4092820,136.37508,189.33218576873983,-52.95710576873984,0.08185127671755243,BBB+,8.0,15.37251,Hold (rich+safe),-48.62249905030202,4.334606718437817
"ONEOK, Inc.",682680BE2,SPS666570566,4010846,72.68837,123.89636865540828,-51.207998655408275,0.045622721038410134,BBB,9.0,3.92028,Hold (rich+safe),-48.8717504178173,2.336248237590973
Keurig Dr Pepper Inc.,49271VAC4,SPS565133161,4547508,127.25931,182.9848747751079,-55.7255647751079,0.04569264124482922,BBB-,10.0,8.79928,Hold (rich+safe),-53.1793165356734,2.5462482394344974
Valero Energy Corporation,252747AF7,SPS14034325,4011157,107.57898,167.19532069101132,-59.61634069101132,0.08580290589170783,BBB,9.0,0.09202,Hold (rich+safe),-54.50108542109248,5.115255269918836
"ONEOK, Inc.",682680AB9,SPS14060951,4010846,55.98627,113.36507783823507,-57.37880783823507,0.045622721038410134,BBB,9.0,2.13459,Hold (rich+safe),-54.76103049471473,2.6177773435203395
Polaris Inc.,731068AB8,SPS1968850119,6331267,156.18456,237.1914628008021,-81.0069028008021,0.32299718735460137,BBB-,10.0,4.06958,Short (rich+risky),-54.84190103983544,26.165001760966657
Amgen Inc.,031162DF4,SPS1771976039,4092820,124.3007,186.11299778141225,-61.81229778141224,0.08185127671755243,BBB+,8.0,13.95118,Hold (rich+safe),-56.752882291158116,5.059415490254126
Ford Motor Company,345370BT6,SPS14052708,113873,85.53654,163.2046328234004,-77.6680928234004,0.26437653427850316,BBB-,10.0,1.58373,Short (rich+risky),-57.13447161872872,20.533621204671682
"Motorola Solutions, Inc.",620076AP4,SPS14063030,4280272,71.2062,132.68375168060354,-61.47755168060354,0.06869091618002673,BBB,9.0,2.26157,Hold (rich+safe),-57.25460233115794,4.222949349445599
"Dominion Energy, Inc.",209615BS1,SPS14049850,4001616,71.84066,132.68375168060354,-60.843091680603536,0.04966403834653356,BBB,9.0,1.42031,Hold (rich+safe),-57.821378042256384,3.021713638347151
HP Inc.,40434LAN5,SPS1785965139,105223,87.62048,157.1837313381093,-69.56325133810931,0.16777833011010135,BBB,9.0,5.41004,Short (rich+risky),-57.89204519157206,11.671206146537253
Verizon Communications Inc.,362320BA0,SPS14055470,4057229,37.20041,106.63765608878889,-69.4372460887889,0.15600550682903952,BBB+,8.0,1.7472,Short (rich+risky),-58.60465331989464,10.832592768894253
Expand Energy Corporation,845467AR0,SPS1675972149,4010492,111.5838,231.43342740185668,-119.84962740185668,,BBB-,10.0,2.42351,Hold (rich+safe),-59.92481370092834,59.92481370092834
CSX Corporation,126408HV8,SPS1792811561,4004350,108.20707,179.3025248643713,-71.09545486437129,0.14691825366386832,BBB+,8.0,14.22939,Short (rich+risky),-60.65023479225949,10.445220072111802
CSX Corporation,126408BP7,SPS241269697,4004350,71.79526,146.43652372501623,-74.64126372501623,0.14691825366386832,BBB+,8.0,0.8887,Short (rich+risky),-63.6750996072726,10.966164117743627
Sysco Corporation,871829AF4,SPS14058761,4064204,62.39808,146.43652372501623,-84.03844372501624,0.21924032319815773,BBB,9.0,1.98065,Short (rich+risky),-65.6138281616735,18.42461556334275
"HCA Healthcare, Inc.",197677AJ6,SPS14027452,4283738,76.18512,164.51333502128915,-88.32821502128915,0.24742404479390925,BBB-,10.0,1.37904,Short (rich+risky),-66.47369079129567,21.854524229993494
Science Applications International Corporation,U80678AB8,SPS64620958,4070675,97.30474,168.32193952247562,-71.01719952247562,0.06220482952069105,BBB,9.0,4.84803,Hold (rich+safe),-66.59958673314313,4.417612789332498
Ford Motor Company,345370BH2,SPS14009291,113873,140.10017,230.7151624013279,-90.6149924013279,0.26437653427850316,BBB-,10.0,4.39209,Short (rich+risky),-66.65851475659193,23.95647764473597
"The Williams Companies, Inc.",969457BB5,SPS14100527,4011165,55.32638,129.5999279056759,-74.27354790567591,0.04791405290550192,BBB+,8.0,3.8499,Hold (rich+safe),-70.71480120184403,3.558746703831887
Ford Motor Company,345370BP4,SPS14035502,113873,128.48424,228.6391907507648,-100.15495075076481,0.26437653427850316,BBB-,10.0,0.17291,Short (rich+risky),-73.67633198044344,26.47861877032137
CSX Corporation,U12640AL9,SPS104608495,4004350,89.077,177.79505012490964,-88.71805012490964,0.14691825366386832,BBB+,8.0,9.39981,Short (rich+risky),-75.68374913209438,13.03430099281526
"Dominion Energy, Inc.",209615BQ5,SPS14037268,4001616,53.86865,133.61291653415128,-79.74426653415128,0.04966403834653356,BBB,9.0,0.37465,Hold (rich+safe),-75.783844223083,3.960422311068282
"Viasat, Inc.",U81700AA1,,5100787,94.12004,252.6151547180005,-158.49511471800048,,BB+,11.0,3.33839,Hold (rich+safe),-79.24755735900024,79.24755735900024
"Kinder Morgan, Inc.",482620AW1,SPS14053446,4275772,48.91362,132.68375168060354,-83.77013168060353,0.046972647254613906,BBB+,8.0,1.62312,Hold (rich+safe),-79.83522683469798,3.9349048459055465
The Boeing Company,097023AK1,SPS14002273,4004086,163.17634,253.26890943696569,-90.09256943696568,0.10703088691645396,BBB-,10.0,9.80219,Hold (rich+safe),-80.44988182554502,9.64268761142065
"Viasat, Inc.",J86925EZ3,,4065378,81.21884,243.6276963152109,-162.4088563152109,,BB+,11.0,2.63383,Hold (rich+safe),-81.20442815760545,81.20442815760545
The Kroger Co.,501044DE8,SPS402896983,4004136,3.59306,94.4451737855812,-90.85211378558121,0.08067044082325772,BBB,9.0,0.37561,Hold (rich+safe),-83.52303371677361,7.329080068807606
The Boeing Company,097023AN5,SPS14002276,4004086,157.64766,256.7678056076107,-99.12014560761068,0.10703088691645396,BBB-,10.0,10.26237,Hold (rich+safe),-88.51122851194005,10.608917095670629
The Boeing Company,097023AQ8,SPS14098798,4004086,155.92345,256.7678056076107,-100.84435560761068,0.10703088691645396,BBB-,10.0,9.59812,Hold (rich+safe),-90.05089478640983,10.79346082120085
Royal Caribbean Cruises Ltd.,780153AG7,SPS14047590,4980858,48.86922,142.04178119154318,-93.17256119154318,0.02599380065182251,BBB,9.0,1.3004,Hold (rich+safe),-90.75065220971047,2.4219089818327078
"Hasbro, Inc.",418056AH0,SPS14058449,4095387,60.16136,161.3298692381696,-101.1685092381696,0.05137579775141975,BBB,9.0,1.93552,Hold (rich+safe),-95.97089636873676,5.197612869432842
CSX Corporation,126408AU7,SPS14042856,4004350,33.75056,146.43652372501623,-112.68596372501622,0.14691825366386832,BBB+,8.0,0.88893,Short (rich+risky),-96.13033872210683,16.555625002909398
CSX Corporation,126408AY9,SPS64219206,4004350,33.75056,146.43652372501623,-112.68596372501622,0.14691825366386832,BBB+,8.0,0.88893,Short (rich+risky),-96.13033872210683,16.555625002909398
Occidental Petroleum Corporation,674599EG6,SPS1684713514,4010841,141.96127,263.72627464068785,-121.76500464068783,0.18821503430032438,BB+,11.0,11.11165,Short (rich+risky),-98.84700011566161,22.91800452502622
McDonald's Corporation,580135BY6,SPS14050718,4095638,18.74942,146.43652372501623,-127.68710372501623,0.22531833365511714,BBB+,8.0,1.49206,Short (rich+risky),-98.91685828444747,28.770245440568758
"Southwest Gas Holdings, Inc.",844895AM4,SPS14076651,4884928,51.92218,161.87573388682588,-109.95355388682589,0.06001284029951988,BBB+,8.0,0.17362,Hold (rich+safe),-103.35492881705115,6.5986250697747355
"Southwest Gas Holdings, Inc.",844895AL6,SPS14035364,4884928,51.92218,162.69811688354395,-110.77593688354395,0.06001284029951988,BBB+,8.0,0.17362,Hold (rich+safe),-104.12795827432213,6.647978609221817
Exelon Corporation,30161NBU4,SPS1972368330,4057056,28.04121,146.43652372501623,-118.39531372501622,0.0638560945095158,BBB+,8.0,2.6215,Hold (rich+safe),-110.83505138230781,7.56026234270841
The Boeing Company,097023AE5,SPS14002269,4004086,84.83077,227.411516488756,-142.580746488756,0.10703088691645396,BBB-,10.0,4.2632,Hold (rich+safe),-127.32020273485436,15.260543753901635
The Boeing Company,097023AG0,SPS14002271,4004086,83.88788,227.411516488756,-143.523636488756,0.10703088691645396,BBB-,10.0,4.43416,Hold (rich+safe),-128.1621743818897,15.36146210686629
Occidental Petroleum Corporation,674599DT9,SPS634205761,4010841,92.52712,257.02879061665345,-164.50167061665346,0.18821503430032438,BB+,11.0,2.495,Short (rich+risky),-133.53998303907937,30.961687577574093
"Viasat, Inc.",674599DT9,,4010841,92.52712,257.02879061665345,-164.50167061665346,0.18821503430032438,BB+,11.0,2.495,Short (rich+risky),-133.53998303907937,30.961687577574093
"Altria Group, Inc.",718154CF2,SPS14039691,4087349,-20.10663,133.61291653415128,-153.71954653415128,0.054408798596928806,BBB+,8.0,0.60323,Hold (rich+safe),-145.35585068636342,8.363695847787863
APA Corporation,U0379QAE2,SPS1912144050,4010203,75.7478,227.17354321650794,-151.42574321650795,0.03996658997982075,BBB-,10.0,3.01631,Hold (rich+safe),-145.37377262498416,6.051970591523797
Occidental Petroleum Corporation,674599DP7,SPS634205757,4010841,58.01694,257.02879061665345,-199.01185061665345,0.18821503430032438,BB+,11.0,1.38416,Short (rich+risky),-161.554828326669,37.45702228998446
